Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
SCPA00004500,SCPA00004500,SIC0005472,PA00000004,2022-01-02,12:05:21,
SCPA00004501,SCPA00004501,SIC0004514,PA00000004,2022-01-02,12:05:21,
SCPA00004502,SCPA00004502,SIC0010761,PA00000004,2022-01-02,12:05:21,
SCPA00004503,SCPA00004503,SIC0006079,PA00000004,2022-01-02,12:05:21,
SCPA00004504,SCPA00004504,SIC0017378,PA00000004,2022-01-02,12:05:21,
SCPA00004505,SCPA00004505,SIC0003461,PA00000004,2022-01-02,12:05:21,
SCPA00004506,SCPA00004506,SIC0012916,PA00000004,2022-01-02,12:05:21,
SCPA00004507,SCPA00004507,SIC0011255,PA00000004,2022-01-02,12:05:21,
SCPA00004508,SCPA00004508,SIC0017727,PA00000004,2022-01-02,12:05:21,
SCPA00004509,SCPA00004509,SIC0008918,PA00000004,2022-01-02,12:05:21,
SCPA00004510,SCPA00004510,SIC0014291,PA00000004,2022-01-02,12:05:21,
SCPA00004511,SCPA00004511,SIC0005524,PA00000004,2022-01-02,12:05:21,
SCPA00004512,SCPA00004512,SIC0017218,PA00000004,2022-01-02,12:05:21,
SCPA00004513,SCPA00004513,SIC0010193,PA00000004,2022-01-02,12:05:21,
SCPA00004514,SCPA00004514,SIC0009338,PA00000004,2022-01-02,12:05:21,
SCPA00004515,SCPA00004515,SIC0009825,PA00000004,2022-01-02,12:05:21,
SCPA00004516,SCPA00004516,SIC0014545,PA00000004,2022-01-02,12:05:21,
SCPA00004517,SCPA00004517,SIC0006646,PA00000004,2022-01-02,12:05:21,
SCPA00004518,SCPA00004518,SIC0014738,PA00000004,2022-01-02,12:05:21,
SCPA00004519,SCPA00004519,SIC0000195,PA00000004,2022-01-02,12:05:21,
SCPA00004520,SCPA00004520,SIC0000959,PA00000004,2022-01-02,12:05:21,
SCPA00004521,SCPA00004521,SIC0005887,PA00000004,2022-01-02,12:05:21,
