Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
SCPA00001500,SCPA00001500,SIC0002626,PA00000004,2022-01-02,12:05:21,
SCPA00001501,SCPA00001501,SIC0000484,PA00000004,2022-01-02,12:05:21,
SCPA00001502,SCPA00001502,SIC0014148,PA00000004,2022-01-02,12:05:21,
SCPA00001503,SCPA00001503,SIC0002678,PA00000004,2022-01-02,12:05:21,
SCPA00001504,SCPA00001504,SIC0009359,PA00000004,2022-01-02,12:05:21,
SCPA00001505,SCPA00001505,SIC0011435,PA00000004,2022-01-02,12:05:21,
SCPA00001506,SCPA00001506,SIC0011193,PA00000004,2022-01-02,12:05:21,
SCPA00001507,SCPA00001507,SIC0003662,PA00000004,2022-01-02,12:05:21,
SCPA00001508,SCPA00001508,SIC0000077,PA00000004,2022-01-02,12:05:21,
SCPA00001509,SCPA00001509,SIC0016818,PA00000004,2022-01-02,12:05:21,
SCPA00001510,SCPA00001510,SIC0000246,PA00000004,2022-01-02,12:05:21,
SCPA00001511,SCPA00001511,SIC0011298,PA00000004,2022-01-02,12:05:21,
SCPA00001512,SCPA00001512,SIC0000118,PA00000004,2022-01-02,12:05:21,
SCPA00001513,SCPA00001513,SIC0011544,PA00000004,2022-01-02,12:05:21,
SCPA00001514,SCPA00001514,SIC0001061,PA00000004,2022-01-02,12:05:21,
SCPA00001515,SCPA00001515,SIC0000863,PA00000004,2022-01-02,12:05:21,
SCPA00001516,SCPA00001516,SIC0013320,PA00000004,2022-01-02,12:05:21,
SCPA00001517,SCPA00001517,SIC0000587,PA00000004,2022-01-02,12:05:21,
SCPA00001518,SCPA00001518,SIC0015719,PA00000004,2022-01-02,12:05:21,
SCPA00001519,SCPA00001519,SIC0003505,PA00000004,2022-01-02,12:05:21,
SCPA00001520,SCPA00001520,SIC0009423,PA00000004,2022-01-02,12:05:21,
SCPA00001521,SCPA00001521,SIC0013278,PA00000004,2022-01-02,12:05:21,
SCPA00001522,SCPA00001522,SIC0000974,PA00000004,2022-01-02,12:05:21,
SCPA00001523,SCPA00001523,SIC0001455,PA00000004,2022-01-02,12:05:21,
SCPA00001524,SCPA00001524,SIC0003691,PA00000004,2022-01-02,12:05:21,
SCPA00001525,SCPA00001525,SIC0017435,PA00000004,2022-01-02,12:05:21,
SCPA00001526,SCPA00001526,SIC0014707,PA00000004,2022-01-02,12:05:21,
SCPA00001527,SCPA00001527,SIC0013386,PA00000004,2022-01-02,12:05:21,
SCPA00001528,SCPA00001528,SIC0003756,PA00000004,2022-01-02,12:05:21,
SCPA00001529,SCPA00001529,SIC0015651,PA00000004,2022-01-02,12:05:21,
SCPA00001530,SCPA00001530,SIC0009882,PA00000004,2022-01-02,12:05:21,
