Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
SCPA00016500,SCPA00016500,SIC0013300,PA00000002,2022-01-02,12:05:21,
SCPA00016501,SCPA00016501,SIC0013547,PA00000002,2022-01-02,12:05:21,
SCPA00016502,SCPA00016502,SIC0012334,PA00000002,2022-01-02,12:05:21,
SCPA00016503,SCPA00016503,SIC0012100,PA00000002,2022-01-02,12:05:21,
SCPA00016504,SCPA00016504,SIC0003005,PA00000002,2022-01-02,12:05:21,
SCPA00016505,SCPA00016505,SIC0005053,PA00000002,2022-01-02,12:05:21,
SCPA00016506,SCPA00016506,SIC0002205,PA00000002,2022-01-02,12:05:21,
SCPA00016507,SCPA00016507,SIC0008535,PA00000002,2022-01-02,12:05:21,
SCPA00016508,SCPA00016508,SIC0009219,PA00000002,2022-01-02,12:05:21,
SCPA00016509,SCPA00016509,SIC0013627,PA00000002,2022-01-02,12:05:21,
SCPA00016510,SCPA00016510,SIC0017751,PA00000002,2022-01-02,12:05:21,
SCPA00016511,SCPA00016511,SIC0005633,PA00000002,2022-01-02,12:05:21,
SCPA00016512,SCPA00016512,SIC0005351,PA00000002,2022-01-02,12:05:21,
SCPA00016513,SCPA00016513,SIC0014848,PA00000002,2022-01-02,12:05:21,
SCPA00016514,SCPA00016514,SIC0017060,PA00000002,2022-01-02,12:05:21,
SCPA00016515,SCPA00016515,SIC0002660,PA00000002,2022-01-02,12:05:21,
SCPA00016516,SCPA00016516,SIC0010677,PA00000002,2022-01-02,12:05:21,
SCPA00016517,SCPA00016517,SIC0017445,PA00000002,2022-01-02,12:05:21,
SCPA00016518,SCPA00016518,SIC0014166,PA00000002,2022-01-02,12:05:21,
SCPA00016519,SCPA00016519,SIC0012550,PA00000002,2022-01-02,12:05:21,
SCPA00016520,SCPA00016520,SIC0014275,PA00000002,2022-01-02,12:05:21,
SCPA00016521,SCPA00016521,SIC0017641,PA00000002,2022-01-02,12:05:21,
SCPA00016522,SCPA00016522,SIC0014669,PA00000002,2022-01-02,12:05:21,
SCPA00016523,SCPA00016523,SIC0000666,PA00000002,2022-01-02,12:05:21,
SCPA00016524,SCPA00016524,SIC0009665,PA00000002,2022-01-02,12:05:21,
SCPA00016525,SCPA00016525,SIC0013608,PA00000002,2022-01-02,12:05:21,
SCPA00016526,SCPA00016526,SIC0017092,PA00000002,2022-01-02,12:05:21,
SCPA00016527,SCPA00016527,SIC0005089,PA00000002,2022-01-02,12:05:21,
SCPA00016528,SCPA00016528,SIC0004619,PA00000002,2022-01-02,12:05:21,
SCPA00016529,SCPA00016529,SIC0003740,PA00000002,2022-01-02,12:05:21,
SCPA00016530,SCPA00016530,SIC0015776,PA00000002,2022-01-02,12:05:21,
SCPA00016531,SCPA00016531,SIC0016068,PA00000002,2022-01-02,12:05:21,
SCPA00016532,SCPA00016532,SIC0009081,PA00000002,2022-01-02,12:05:21,
SCPA00016533,SCPA00016533,SIC0002750,PA00000002,2022-01-02,12:05:21,
SCPA00016534,SCPA00016534,SIC0012152,PA00000002,2022-01-02,12:05:21,
SCPA00016535,SCPA00016535,SIC0012218,PA00000002,2022-01-02,12:05:21,
SCPA00016536,SCPA00016536,SIC0004299,PA00000002,2022-01-02,12:05:21,
SCPA00016537,SCPA00016537,SIC0012277,PA00000002,2022-01-02,12:05:21,
SCPA00016538,SCPA00016538,SIC0015948,PA00000002,2022-01-02,12:05:21,
SCPA00016539,SCPA00016539,SIC0003283,PA00000002,2022-01-02,12:05:21,
SCPA00016540,SCPA00016540,SIC0009276,PA00000002,2022-01-02,12:05:21,
SCPA00016541,SCPA00016541,SIC0015572,PA00000002,2022-01-02,12:05:21,
SCPA00016542,SCPA00016542,SIC0008804,PA00000002,2022-01-02,12:05:21,
SCPA00016543,SCPA00016543,SIC0006285,PA00000002,2022-01-02,12:05:21,
SCPA00016544,SCPA00016544,SIC0014573,PA00000002,2022-01-02,12:05:21,
SCPA00016545,SCPA00016545,SIC0003872,PA00000002,2022-01-02,12:05:21,
SCPA00016546,SCPA00016546,SIC0009304,PA00000002,2022-01-02,12:05:21,
SCPA00016547,SCPA00016547,SIC0013697,PA00000002,2022-01-02,12:05:21,
SCPA00016548,SCPA00016548,SIC0001985,PA00000002,2022-01-02,12:05:21,
SCPA00016549,SCPA00016549,SIC0016929,PA00000002,2022-01-02,12:05:21,
SCPA00016550,SCPA00016550,SIC0016440,PA00000002,2022-01-02,12:05:21,
SCPA00016551,SCPA00016551,SIC0009932,PA00000002,2022-01-02,12:05:21,
SCPA00016552,SCPA00016552,SIC0014774,PA00000002,2022-01-02,12:05:21,
SCPA00016553,SCPA00016553,SIC0015507,PA00000002,2022-01-02,12:05:21,
SCPA00016554,SCPA00016554,SIC0016497,PA00000002,2022-01-02,12:05:21,
SCPA00016555,SCPA00016555,SIC0009759,PA00000002,2022-01-02,12:05:21,
SCPA00016556,SCPA00016556,SIC0014188,PA00000002,2022-01-02,12:05:21,
SCPA00016557,SCPA00016557,SIC0014436,PA00000002,2022-01-02,12:05:21,
SCPA00016558,SCPA00016558,SIC0005527,PA00000002,2022-01-02,12:05:21,
SCPA00016559,SCPA00016559,SIC0005561,PA00000002,2022-01-02,12:05:21,
SCPA00016560,SCPA00016560,SIC0010456,PA00000002,2022-01-02,12:05:21,
SCPA00016561,SCPA00016561,SIC0000540,PA00000002,2022-01-02,12:05:21,
SCPA00016562,SCPA00016562,SIC0003353,PA00000002,2022-01-02,12:05:21,
SCPA00016563,SCPA00016563,SIC0016258,PA00000002,2022-01-02,12:05:21,
SCPA00016564,SCPA00016564,SIC0014414,PA00000002,2022-01-02,12:05:21,
SCPA00016565,SCPA00016565,SIC0016556,PA00000002,2022-01-02,12:05:21,
SCPA00016566,SCPA00016566,SIC0008956,PA00000002,2022-01-02,12:05:21,
SCPA00016567,SCPA00016567,SIC0011943,PA00000002,2022-01-02,12:05:21,
SCPA00016568,SCPA00016568,SIC0012526,PA00000002,2022-01-02,12:05:21,
SCPA00016569,SCPA00016569,SIC0012728,PA00000002,2022-01-02,12:05:21,
SCPA00016570,SCPA00016570,SIC0015763,PA00000002,2022-01-02,12:05:21,
SCPA00016571,SCPA00016571,SIC0009562,PA00000002,2022-01-02,12:05:21,
SCPA00016572,SCPA00016572,SIC0017764,PA00000002,2022-01-02,12:05:21,
SCPA00016573,SCPA00016573,SIC0014273,PA00000002,2022-01-02,12:05:21,
SCPA00016574,SCPA00016574,SIC0015230,PA00000002,2022-01-02,12:05:21,
SCPA00016575,SCPA00016575,SIC0000749,PA00000002,2022-01-02,12:05:21,
SCPA00016576,SCPA00016576,SIC0014483,PA00000002,2022-01-02,12:05:21,
SCPA00016577,SCPA00016577,SIC0001408,PA00000002,2022-01-02,12:05:21,
SCPA00016578,SCPA00016578,SIC0012324,PA00000002,2022-01-02,12:05:21,
SCPA00016579,SCPA00016579,SIC0011209,PA00000002,2022-01-02,12:05:21,
SCPA00016580,SCPA00016580,SIC0002106,PA00000002,2022-01-02,12:05:21,
SCPA00016581,SCPA00016581,SIC0009514,PA00000002,2022-01-02,12:05:21,
SCPA00016582,SCPA00016582,SIC0002786,PA00000002,2022-01-02,12:05:21,
SCPA00016583,SCPA00016583,SIC0005149,PA00000002,2022-01-02,12:05:21,
SCPA00016584,SCPA00016584,SIC0017732,PA00000002,2022-01-02,12:05:21,
SCPA00016585,SCPA00016585,SIC0002962,PA00000002,2022-01-02,12:05:21,
SCPA00016586,SCPA00016586,SIC0012770,PA00000002,2022-01-02,12:05:21,
SCPA00016587,SCPA00016587,SIC0013779,PA00000002,2022-01-02,12:05:21,
SCPA00016588,SCPA00016588,SIC0011365,PA00000002,2022-01-02,12:05:21,
SCPA00016589,SCPA00016589,SIC0004981,PA00000002,2022-01-02,12:05:21,
SCPA00016590,SCPA00016590,SIC0015900,PA00000002,2022-01-02,12:05:21,
SCPA00016591,SCPA00016591,SIC0016984,PA00000002,2022-01-02,12:05:21,
SCPA00016592,SCPA00016592,SIC0002721,PA00000002,2022-01-02,12:05:21,
SCPA00016593,SCPA00016593,SIC0004903,PA00000002,2022-01-02,12:05:21,
SCPA00016594,SCPA00016594,SIC0005310,PA00000002,2022-01-02,12:05:21,
SCPA00016595,SCPA00016595,SIC0010926,PA00000002,2022-01-02,12:05:21,
SCPA00016596,SCPA00016596,SIC0006342,PA00000002,2022-01-02,12:05:21,
SCPA00016597,SCPA00016597,SIC0006520,PA00000002,2022-01-02,12:05:21,
SCPA00016598,SCPA00016598,SIC0002695,PA00000002,2022-01-02,12:05:21,
SCPA00016599,SCPA00016599,SIC0011138,PA00000002,2022-01-02,12:05:21,
SCPA00016600,SCPA00016600,SIC0014251,PA00000002,2022-01-02,12:05:21,
SCPA00016601,SCPA00016601,SIC0005272,PA00000002,2022-01-02,12:05:21,
SCPA00016602,SCPA00016602,SIC0003028,PA00000002,2022-01-02,12:05:21,
SCPA00016603,SCPA00016603,SIC0003522,PA00000002,2022-01-02,12:05:21,
SCPA00016604,SCPA00016604,SIC0004801,PA00000002,2022-01-02,12:05:21,
SCPA00016605,SCPA00016605,SIC0012435,PA00000002,2022-01-02,12:05:21,
SCPA00016606,SCPA00016606,SIC0005753,PA00000002,2022-01-02,12:05:21,
SCPA00016607,SCPA00016607,SIC0001284,PA00000002,2022-01-02,12:05:21,
SCPA00016608,SCPA00016608,SIC0014003,PA00000002,2022-01-02,12:05:21,
SCPA00016609,SCPA00016609,SIC0005817,PA00000002,2022-01-02,12:05:21,
SCPA00016610,SCPA00016610,SIC0015956,PA00000002,2022-01-02,12:05:21,
SCPA00016611,SCPA00016611,SIC0002960,PA00000002,2022-01-02,12:05:21,
