Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
SCPA00013500,SCPA00013500,SIC0009020,PA00000002,2022-01-02,12:05:21,
SCPA00013501,SCPA00013501,SIC0003206,PA00000002,2022-01-02,12:05:21,
SCPA00013502,SCPA00013502,SIC0005453,PA00000002,2022-01-02,12:05:21,
SCPA00013503,SCPA00013503,SIC0017663,PA00000002,2022-01-02,12:05:21,
SCPA00013504,SCPA00013504,SIC0013461,PA00000002,2022-01-02,12:05:21,
SCPA00013505,SCPA00013505,SIC0006440,PA00000002,2022-01-02,12:05:21,
SCPA00013506,SCPA00013506,SIC0014458,PA00000002,2022-01-02,12:05:21,
SCPA00013507,SCPA00013507,SIC0001381,PA00000002,2022-01-02,12:05:21,
SCPA00013508,SCPA00013508,SIC0010085,PA00000002,2022-01-02,12:05:21,
SCPA00013509,SCPA00013509,SIC0012440,PA00000002,2022-01-02,12:05:21,
SCPA00013510,SCPA00013510,SIC0010408,PA00000002,2022-01-02,12:05:21,
SCPA00013511,SCPA00013511,SIC0017649,PA00000002,2022-01-02,12:05:21,
SCPA00013512,SCPA00013512,SIC0011916,PA00000002,2022-01-02,12:05:21,
SCPA00013513,SCPA00013513,SIC0002927,PA00000002,2022-01-02,12:05:21,
SCPA00013514,SCPA00013514,SIC0004355,PA00000002,2022-01-02,12:05:21,
SCPA00013515,SCPA00013515,SIC0005207,PA00000002,2022-01-02,12:05:21,
SCPA00013516,SCPA00013516,SIC0000918,PA00000002,2022-01-02,12:05:21,
SCPA00013517,SCPA00013517,SIC0001260,PA00000002,2022-01-02,12:05:21,
SCPA00013518,SCPA00013518,SIC0000841,PA00000002,2022-01-02,12:05:21,
SCPA00013519,SCPA00013519,SIC0016050,PA00000002,2022-01-02,12:05:21,
SCPA00013520,SCPA00013520,SIC0001579,PA00000002,2022-01-02,12:05:21,
SCPA00013521,SCPA00013521,SIC0013667,PA00000002,2022-01-02,12:05:21,
SCPA00013522,SCPA00013522,SIC0014217,PA00000002,2022-01-02,12:05:21,
SCPA00013523,SCPA00013523,SIC0002190,PA00000002,2022-01-02,12:05:21,
SCPA00013524,SCPA00013524,SIC0009980,PA00000002,2022-01-02,12:05:21,
SCPA00013525,SCPA00013525,SIC0000161,PA00000002,2022-01-02,12:05:21,
SCPA00013526,SCPA00013526,SIC0014937,PA00000002,2022-01-02,12:05:21,
SCPA00013527,SCPA00013527,SIC0013043,PA00000002,2022-01-02,12:05:21,
SCPA00013528,SCPA00013528,SIC0012585,PA00000002,2022-01-02,12:05:21,
SCPA00013529,SCPA00013529,SIC0008947,PA00000002,2022-01-02,12:05:21,
SCPA00013530,SCPA00013530,SIC0016863,PA00000002,2022-01-02,12:05:21,
SCPA00013531,SCPA00013531,SIC0004832,PA00000002,2022-01-02,12:05:21,
SCPA00013532,SCPA00013532,SIC0001411,PA00000002,2022-01-02,12:05:21,
SCPA00013533,SCPA00013533,SIC0010904,PA00000002,2022-01-02,12:05:21,
SCPA00013534,SCPA00013534,SIC0016010,PA00000002,2022-01-02,12:05:21,
SCPA00013535,SCPA00013535,SIC0002228,PA00000002,2022-01-02,12:05:21,
SCPA00013536,SCPA00013536,SIC0000169,PA00000002,2022-01-02,12:05:21,
SCPA00013537,SCPA00013537,SIC0008808,PA00000002,2022-01-02,12:05:21,
SCPA00013538,SCPA00013538,SIC0002382,PA00000002,2022-01-02,12:05:21,
SCPA00013539,SCPA00013539,SIC0005699,PA00000002,2022-01-02,12:05:21,
SCPA00013540,SCPA00013540,SIC0014751,PA00000002,2022-01-02,12:05:21,
SCPA00013541,SCPA00013541,SIC0003426,PA00000002,2022-01-02,12:05:21,
SCPA00013542,SCPA00013542,SIC0014212,PA00000002,2022-01-02,12:05:21,
SCPA00013543,SCPA00013543,SIC0000985,PA00000002,2022-01-02,12:05:21,
SCPA00013544,SCPA00013544,SIC0010864,PA00000002,2022-01-02,12:05:21,
SCPA00013545,SCPA00013545,SIC0003869,PA00000002,2022-01-02,12:05:21,
SCPA00013546,SCPA00013546,SIC0015972,PA00000002,2022-01-02,12:05:21,
SCPA00013547,SCPA00013547,SIC0015664,PA00000002,2022-01-02,12:05:21,
SCPA00013548,SCPA00013548,SIC0013498,PA00000002,2022-01-02,12:05:21,
SCPA00013549,SCPA00013549,SIC0015969,PA00000002,2022-01-02,12:05:21,
SCPA00013550,SCPA00013550,SIC0012210,PA00000002,2022-01-02,12:05:21,
SCPA00013551,SCPA00013551,SIC0002953,PA00000002,2022-01-02,12:05:21,
SCPA00013552,SCPA00013552,SIC0009659,PA00000002,2022-01-02,12:05:21,
SCPA00013553,SCPA00013553,SIC0012556,PA00000002,2022-01-02,12:05:21,
SCPA00013554,SCPA00013554,SIC0015330,PA00000002,2022-01-02,12:05:21,
SCPA00013555,SCPA00013555,SIC0001376,PA00000002,2022-01-02,12:05:21,
SCPA00013556,SCPA00013556,SIC0000116,PA00000002,2022-01-02,12:05:21,
SCPA00013557,SCPA00013557,SIC0010352,PA00000002,2022-01-02,12:05:21,
SCPA00013558,SCPA00013558,SIC0011774,PA00000002,2022-01-02,12:05:21,
SCPA00013559,SCPA00013559,SIC0014506,PA00000002,2022-01-02,12:05:21,
SCPA00013560,SCPA00013560,SIC0005000,PA00000002,2022-01-02,12:05:21,
SCPA00013561,SCPA00013561,SIC0012200,PA00000002,2022-01-02,12:05:21,
SCPA00013562,SCPA00013562,SIC0005066,PA00000002,2022-01-02,12:05:21,
SCPA00013563,SCPA00013563,SIC0017106,PA00000002,2022-01-02,12:05:21,
SCPA00013564,SCPA00013564,SIC0016280,PA00000002,2022-01-02,12:05:21,
SCPA00013565,SCPA00013565,SIC0001572,PA00000002,2022-01-02,12:05:21,
SCPA00013566,SCPA00013566,SIC0002829,PA00000002,2022-01-02,12:05:21,
SCPA00013567,SCPA00013567,SIC0013550,PA00000002,2022-01-02,12:05:21,
SCPA00013568,SCPA00013568,SIC0016728,PA00000002,2022-01-02,12:05:21,
SCPA00013569,SCPA00013569,SIC0009186,PA00000002,2022-01-02,12:05:21,
SCPA00013570,SCPA00013570,SIC0004553,PA00000002,2022-01-02,12:05:21,
SCPA00013571,SCPA00013571,SIC0016905,PA00000002,2022-01-02,12:05:21,
SCPA00013572,SCPA00013572,SIC0004071,PA00000002,2022-01-02,12:05:21,
SCPA00013573,SCPA00013573,SIC0013962,PA00000002,2022-01-02,12:05:21,
SCPA00013574,SCPA00013574,SIC0010689,PA00000002,2022-01-02,12:05:21,
SCPA00013575,SCPA00013575,SIC0003199,PA00000002,2022-01-02,12:05:21,
SCPA00013576,SCPA00013576,SIC0002049,PA00000002,2022-01-02,12:05:21,
SCPA00013577,SCPA00013577,SIC0012062,PA00000002,2022-01-02,12:05:21,
SCPA00013578,SCPA00013578,SIC0014902,PA00000002,2022-01-02,12:05:21,
SCPA00013579,SCPA00013579,SIC0002310,PA00000002,2022-01-02,12:05:21,
SCPA00013580,SCPA00013580,SIC0017173,PA00000002,2022-01-02,12:05:21,
SCPA00013581,SCPA00013581,SIC0006377,PA00000002,2022-01-02,12:05:21,
SCPA00013582,SCPA00013582,SIC0014846,PA00000002,2022-01-02,12:05:21,
SCPA00013583,SCPA00013583,SIC0003068,PA00000002,2022-01-02,12:05:21,
SCPA00013584,SCPA00013584,SIC0015121,PA00000002,2022-01-02,12:05:21,
SCPA00013585,SCPA00013585,SIC0005631,PA00000002,2022-01-02,12:05:21,
SCPA00013586,SCPA00013586,SIC0005349,PA00000002,2022-01-02,12:05:21,
SCPA00013587,SCPA00013587,SIC0006528,PA00000002,2022-01-02,12:05:21,
SCPA00013588,SCPA00013588,SIC0017396,PA00000002,2022-01-02,12:05:21,
SCPA00013589,SCPA00013589,SIC0009467,PA00000002,2022-01-02,12:05:21,
SCPA00013590,SCPA00013590,SIC0011648,PA00000002,2022-01-02,12:05:21,
SCPA00013591,SCPA00013591,SIC0013272,PA00000002,2022-01-02,12:05:21,
SCPA00013592,SCPA00013592,SIC0005081,PA00000002,2022-01-02,12:05:21,
SCPA00013593,SCPA00013593,SIC0011675,PA00000002,2022-01-02,12:05:21,
SCPA00013594,SCPA00013594,SIC0013506,PA00000002,2022-01-02,12:05:21,
SCPA00013595,SCPA00013595,SIC0017198,PA00000002,2022-01-02,12:05:21,
SCPA00013596,SCPA00013596,SIC0013265,PA00000002,2022-01-02,12:05:21,
