Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
SCPA00019500,SCPA00019500,SIC0006607,PA00000001,2022-01-02,12:05:21,
SCPA00019501,SCPA00019501,SIC0006203,PA00000001,2022-01-02,12:05:21,
SCPA00019502,SCPA00019502,SIC0016393,PA00000001,2022-01-02,12:05:21,
SCPA00019503,SCPA00019503,SIC0011034,PA00000001,2022-01-02,12:05:21,
SCPA00019504,SCPA00019504,SIC0004790,PA00000001,2022-01-02,12:05:21,
SCPA00019505,SCPA00019505,SIC0017458,PA00000001,2022-01-02,12:05:21,
SCPA00019506,SCPA00019506,SIC0017716,PA00000001,2022-01-02,12:05:21,
SCPA00019507,SCPA00019507,SIC0006624,PA00000001,2022-01-02,12:05:21,
SCPA00019508,SCPA00019508,SIC0012948,PA00000001,2022-01-02,12:05:21,
SCPA00019509,SCPA00019509,SIC0010904,PA00000001,2022-01-02,12:05:21,
SCPA00019510,SCPA00019510,SIC0004389,PA00000001,2022-01-02,12:05:21,
SCPA00019511,SCPA00019511,SIC0004537,PA00000001,2022-01-02,12:05:21,
SCPA00019512,SCPA00019512,SIC0010625,PA00000001,2022-01-02,12:05:21,
SCPA00019513,SCPA00019513,SIC0017405,PA00000001,2022-01-02,12:05:21,
SCPA00019514,SCPA00019514,SIC0003826,PA00000001,2022-01-02,12:05:21,
SCPA00019515,SCPA00019515,SIC0012656,PA00000001,2022-01-02,12:05:21,
SCPA00019516,SCPA00019516,SIC0001779,PA00000001,2022-01-02,12:05:21,
SCPA00019517,SCPA00019517,SIC0005500,PA00000001,2022-01-02,12:05:21,
SCPA00019518,SCPA00019518,SIC0012085,PA00000001,2022-01-02,12:05:21,
SCPA00019519,SCPA00019519,SIC0001927,PA00000001,2022-01-02,12:05:21,
SCPA00019520,SCPA00019520,SIC0006309,PA00000001,2022-01-02,12:05:21,
SCPA00019521,SCPA00019521,SIC0013793,PA00000001,2022-01-02,12:05:21,
