Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
SCPA00010500,SCPA00010500,SIC0003575,PA00000002,2022-01-02,12:05:21,
SCPA00010501,SCPA00010501,SIC0001560,PA00000002,2022-01-02,12:05:21,
SCPA00010502,SCPA00010502,SIC0012225,PA00000002,2022-01-02,12:05:21,
SCPA00010503,SCPA00010503,SIC0012368,PA00000002,2022-01-02,12:05:21,
SCPA00010504,SCPA00010504,SIC0010105,PA00000002,2022-01-02,12:05:21,
SCPA00010505,SCPA00010505,SIC0016785,PA00000002,2022-01-02,12:05:21,
SCPA00010506,SCPA00010506,SIC0009550,PA00000002,2022-01-02,12:05:21,
SCPA00010507,SCPA00010507,SIC0000017,PA00000002,2022-01-02,12:05:21,
SCPA00010508,SCPA00010508,SIC0009364,PA00000002,2022-01-02,12:05:21,
SCPA00010509,SCPA00010509,SIC0014778,PA00000002,2022-01-02,12:05:21,
SCPA00010510,SCPA00010510,SIC0012546,PA00000002,2022-01-02,12:05:21,
SCPA00010511,SCPA00010511,SIC0010701,PA00000002,2022-01-02,12:05:21,
SCPA00010512,SCPA00010512,SIC0012949,PA00000002,2022-01-02,12:05:21,
SCPA00010513,SCPA00010513,SIC0001998,PA00000002,2022-01-02,12:05:21,
SCPA00010514,SCPA00010514,SIC0009156,PA00000002,2022-01-02,12:05:21,
SCPA00010515,SCPA00010515,SIC0016317,PA00000002,2022-01-02,12:05:21,
SCPA00010516,SCPA00010516,SIC0005397,PA00000002,2022-01-02,12:05:21,
SCPA00010517,SCPA00010517,SIC0003072,PA00000002,2022-01-02,12:05:21,
SCPA00010518,SCPA00010518,SIC0015304,PA00000002,2022-01-02,12:05:21,
SCPA00010519,SCPA00010519,SIC0016523,PA00000002,2022-01-02,12:05:21,
SCPA00010520,SCPA00010520,SIC0003585,PA00000002,2022-01-02,12:05:21,
SCPA00010521,SCPA00010521,SIC0006615,PA00000002,2022-01-02,12:05:21,
SCPA00010522,SCPA00010522,SIC0016968,PA00000002,2022-01-02,12:05:21,
SCPA00010523,SCPA00010523,SIC0016367,PA00000002,2022-01-02,12:05:21,
SCPA00010524,SCPA00010524,SIC0009608,PA00000002,2022-01-02,12:05:21,
SCPA00010525,SCPA00010525,SIC0010903,PA00000002,2022-01-02,12:05:21,
SCPA00010526,SCPA00010526,SIC0002124,PA00000002,2022-01-02,12:05:21,
SCPA00010527,SCPA00010527,SIC0004006,PA00000002,2022-01-02,12:05:21,
SCPA00010528,SCPA00010528,SIC0011473,PA00000002,2022-01-02,12:05:21,
SCPA00010529,SCPA00010529,SIC0004742,PA00000002,2022-01-02,12:05:21,
SCPA00010530,SCPA00010530,SIC0016097,PA00000002,2022-01-02,12:05:21,
SCPA00010531,SCPA00010531,SIC0003012,PA00000002,2022-01-02,12:05:21,
SCPA00010532,SCPA00010532,SIC0011812,PA00000002,2022-01-02,12:05:21,
SCPA00010533,SCPA00010533,SIC0005867,PA00000002,2022-01-02,12:05:21,
SCPA00010534,SCPA00010534,SIC0014301,PA00000002,2022-01-02,12:05:21,
SCPA00010535,SCPA00010535,SIC0011808,PA00000002,2022-01-02,12:05:21,
SCPA00010536,SCPA00010536,SIC0010799,PA00000002,2022-01-02,12:05:21,
SCPA00010537,SCPA00010537,SIC0003919,PA00000002,2022-01-02,12:05:21,
SCPA00010538,SCPA00010538,SIC0011002,PA00000002,2022-01-02,12:05:21,
SCPA00010539,SCPA00010539,SIC0001699,PA00000002,2022-01-02,12:05:21,
SCPA00010540,SCPA00010540,SIC0005798,PA00000002,2022-01-02,12:05:21,
SCPA00010541,SCPA00010541,SIC0016318,PA00000002,2022-01-02,12:05:21,
SCPA00010542,SCPA00010542,SIC0006228,PA00000002,2022-01-02,12:05:21,
SCPA00010543,SCPA00010543,SIC0002258,PA00000002,2022-01-02,12:05:21,
SCPA00010544,SCPA00010544,SIC0000356,PA00000002,2022-01-02,12:05:21,
SCPA00010545,SCPA00010545,SIC0009994,PA00000002,2022-01-02,12:05:21,
SCPA00010546,SCPA00010546,SIC0014435,PA00000002,2022-01-02,12:05:21,
SCPA00010547,SCPA00010547,SIC0009343,PA00000002,2022-01-02,12:05:21,
SCPA00010548,SCPA00010548,SIC0001655,PA00000002,2022-01-02,12:05:21,
SCPA00010549,SCPA00010549,SIC0003979,PA00000002,2022-01-02,12:05:21,
SCPA00010550,SCPA00010550,SIC0015284,PA00000002,2022-01-02,12:05:21,
SCPA00010551,SCPA00010551,SIC0012530,PA00000002,2022-01-02,12:05:21,
SCPA00010552,SCPA00010552,SIC0002457,PA00000002,2022-01-02,12:05:21,
SCPA00010553,SCPA00010553,SIC0003433,PA00000002,2022-01-02,12:05:21,
SCPA00010554,SCPA00010554,SIC0017150,PA00000002,2022-01-02,12:05:21,
SCPA00010555,SCPA00010555,SIC0015593,PA00000002,2022-01-02,12:05:21,
SCPA00010556,SCPA00010556,SIC0014140,PA00000002,2022-01-02,12:05:21,
SCPA00010557,SCPA00010557,SIC0009968,PA00000002,2022-01-02,12:05:21,
SCPA00010558,SCPA00010558,SIC0014606,PA00000002,2022-01-02,12:05:21,
SCPA00010559,SCPA00010559,SIC0013340,PA00000002,2022-01-02,12:05:21,
SCPA00010560,SCPA00010560,SIC0010785,PA00000002,2022-01-02,12:05:21,
SCPA00010561,SCPA00010561,SIC0014145,PA00000002,2022-01-02,12:05:21,
SCPA00010562,SCPA00010562,SIC0004744,PA00000002,2022-01-02,12:05:21,
SCPA00010563,SCPA00010563,SIC0012388,PA00000002,2022-01-02,12:05:21,
SCPA00010564,SCPA00010564,SIC0002199,PA00000002,2022-01-02,12:05:21,
SCPA00010565,SCPA00010565,SIC0006550,PA00000002,2022-01-02,12:05:21,
SCPA00010566,SCPA00010566,SIC0016248,PA00000002,2022-01-02,12:05:21,
SCPA00010567,SCPA00010567,SIC0003698,PA00000002,2022-01-02,12:05:21,
SCPA00010568,SCPA00010568,SIC0004964,PA00000002,2022-01-02,12:05:21,
SCPA00010569,SCPA00010569,SIC0013482,PA00000002,2022-01-02,12:05:21,
SCPA00010570,SCPA00010570,SIC0011702,PA00000002,2022-01-02,12:05:21,
SCPA00010571,SCPA00010571,SIC0010407,PA00000002,2022-01-02,12:05:21,
SCPA00010572,SCPA00010572,SIC0001679,PA00000002,2022-01-02,12:05:21,
SCPA00010573,SCPA00010573,SIC0012759,PA00000002,2022-01-02,12:05:21,
