Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
SCPA00003000,SCPA00003000,SIC0010233,PA00000004,2022-01-02,12:05:21,
SCPA00003001,SCPA00003001,SIC0012544,PA00000004,2022-01-02,12:05:21,
SCPA00003002,SCPA00003002,SIC0015464,PA00000004,2022-01-02,12:05:21,
SCPA00003003,SCPA00003003,SIC0008959,PA00000004,2022-01-02,12:05:21,
SCPA00003004,SCPA00003004,SIC0006030,PA00000004,2022-01-02,12:05:21,
SCPA00003005,SCPA00003005,SIC0003174,PA00000004,2022-01-02,12:05:21,
SCPA00003006,SCPA00003006,SIC0003845,PA00000004,2022-01-02,12:05:21,
SCPA00003007,SCPA00003007,SIC0016941,PA00000004,2022-01-02,12:05:21,
SCPA00003008,SCPA00003008,SIC0009762,PA00000004,2022-01-02,12:05:21,
SCPA00003009,SCPA00003009,SIC0004047,PA00000004,2022-01-02,12:05:21,
SCPA00003010,SCPA00003010,SIC0010857,PA00000004,2022-01-02,12:05:21,
SCPA00003011,SCPA00003011,SIC0006225,PA00000004,2022-01-02,12:05:21,
SCPA00003012,SCPA00003012,SIC0014512,PA00000004,2022-01-02,12:05:21,
SCPA00003013,SCPA00003013,SIC0015235,PA00000004,2022-01-02,12:05:21,
SCPA00003014,SCPA00003014,SIC0012393,PA00000004,2022-01-02,12:05:21,
SCPA00003015,SCPA00003015,SIC0012595,PA00000004,2022-01-02,12:05:21,
SCPA00003016,SCPA00003016,SIC0004248,PA00000004,2022-01-02,12:05:21,
SCPA00003017,SCPA00003017,SIC0010850,PA00000004,2022-01-02,12:05:21,
SCPA00003018,SCPA00003018,SIC0003294,PA00000004,2022-01-02,12:05:21,
SCPA00003019,SCPA00003019,SIC0013177,PA00000004,2022-01-02,12:05:21,
SCPA00003020,SCPA00003020,SIC0011037,PA00000004,2022-01-02,12:05:21,
SCPA00003021,SCPA00003021,SIC0000639,PA00000004,2022-01-02,12:05:21,
SCPA00003022,SCPA00003022,SIC0005160,PA00000004,2022-01-02,12:05:21,
SCPA00003023,SCPA00003023,SIC0004576,PA00000004,2022-01-02,12:05:21,
SCPA00003024,SCPA00003024,SIC0014757,PA00000004,2022-01-02,12:05:21,
SCPA00003025,SCPA00003025,SIC0000069,PA00000004,2022-01-02,12:05:21,
SCPA00003026,SCPA00003026,SIC0012456,PA00000004,2022-01-02,12:05:21,
SCPA00003027,SCPA00003027,SIC0004703,PA00000004,2022-01-02,12:05:21,
SCPA00003028,SCPA00003028,SIC0016947,PA00000004,2022-01-02,12:05:21,
SCPA00003029,SCPA00003029,SIC0015080,PA00000004,2022-01-02,12:05:21,
SCPA00003030,SCPA00003030,SIC0009581,PA00000004,2022-01-02,12:05:21,
SCPA00003031,SCPA00003031,SIC0002081,PA00000004,2022-01-02,12:05:21,
SCPA00003032,SCPA00003032,SIC0010502,PA00000004,2022-01-02,12:05:21,
SCPA00003033,SCPA00003033,SIC0016239,PA00000004,2022-01-02,12:05:21,
SCPA00003034,SCPA00003034,SIC0003629,PA00000004,2022-01-02,12:05:21,
SCPA00003035,SCPA00003035,SIC0003082,PA00000004,2022-01-02,12:05:21,
SCPA00003036,SCPA00003036,SIC0006298,PA00000004,2022-01-02,12:05:21,
SCPA00003037,SCPA00003037,SIC0016268,PA00000004,2022-01-02,12:05:21,
SCPA00003038,SCPA00003038,SIC0009920,PA00000004,2022-01-02,12:05:21,
SCPA00003039,SCPA00003039,SIC0004751,PA00000004,2022-01-02,12:05:21,
SCPA00003040,SCPA00003040,SIC0015443,PA00000004,2022-01-02,12:05:21,
SCPA00003041,SCPA00003041,SIC0005409,PA00000004,2022-01-02,12:05:21,
SCPA00003042,SCPA00003042,SIC0015107,PA00000004,2022-01-02,12:05:21,
SCPA00003043,SCPA00003043,SIC0017431,PA00000004,2022-01-02,12:05:21,
SCPA00003044,SCPA00003044,SIC0013947,PA00000004,2022-01-02,12:05:21,
SCPA00003045,SCPA00003045,SIC0008912,PA00000004,2022-01-02,12:05:21,
SCPA00003046,SCPA00003046,SIC0005922,PA00000004,2022-01-02,12:05:21,
SCPA00003047,SCPA00003047,SIC0017759,PA00000004,2022-01-02,12:05:21,
SCPA00003048,SCPA00003048,SIC0011531,PA00000004,2022-01-02,12:05:21,
SCPA00003049,SCPA00003049,SIC0012731,PA00000004,2022-01-02,12:05:21,
SCPA00003050,SCPA00003050,SIC0015830,PA00000004,2022-01-02,12:05:21,
SCPA00003051,SCPA00003051,SIC0014103,PA00000004,2022-01-02,12:05:21,
SCPA00003052,SCPA00003052,SIC0002841,PA00000004,2022-01-02,12:05:21,
SCPA00003053,SCPA00003053,SIC0001354,PA00000004,2022-01-02,12:05:21,
SCPA00003054,SCPA00003054,SIC0010830,PA00000004,2022-01-02,12:05:21,
SCPA00003055,SCPA00003055,SIC0009991,PA00000004,2022-01-02,12:05:21,
SCPA00003056,SCPA00003056,SIC0004950,PA00000004,2022-01-02,12:05:21,
SCPA00003057,SCPA00003057,SIC0003258,PA00000004,2022-01-02,12:05:21,
SCPA00003058,SCPA00003058,SIC0008916,PA00000004,2022-01-02,12:05:21,
SCPA00003059,SCPA00003059,SIC0002747,PA00000004,2022-01-02,12:05:21,
SCPA00003060,SCPA00003060,SIC0013205,PA00000004,2022-01-02,12:05:21,
SCPA00003061,SCPA00003061,SIC0011390,PA00000004,2022-01-02,12:05:21,
SCPA00003062,SCPA00003062,SIC0017113,PA00000004,2022-01-02,12:05:21,
SCPA00003063,SCPA00003063,SIC0002527,PA00000004,2022-01-02,12:05:21,
SCPA00003064,SCPA00003064,SIC0002497,PA00000004,2022-01-02,12:05:21,
SCPA00003065,SCPA00003065,SIC0009603,PA00000004,2022-01-02,12:05:21,
SCPA00003066,SCPA00003066,SIC0001793,PA00000004,2022-01-02,12:05:21,
SCPA00003067,SCPA00003067,SIC0013133,PA00000004,2022-01-02,12:05:21,
SCPA00003068,SCPA00003068,SIC0003429,PA00000004,2022-01-02,12:05:21,
SCPA00003069,SCPA00003069,SIC0009912,PA00000004,2022-01-02,12:05:21,
SCPA00003070,SCPA00003070,SIC0016446,PA00000004,2022-01-02,12:05:21,
SCPA00003071,SCPA00003071,SIC0012728,PA00000004,2022-01-02,12:05:21,
SCPA00003072,SCPA00003072,SIC0013973,PA00000004,2022-01-02,12:05:21,
SCPA00003073,SCPA00003073,SIC0015509,PA00000004,2022-01-02,12:05:21,
SCPA00003074,SCPA00003074,SIC0009604,PA00000004,2022-01-02,12:05:21,
SCPA00003075,SCPA00003075,SIC0011686,PA00000004,2022-01-02,12:05:21,
SCPA00003076,SCPA00003076,SIC0011469,PA00000004,2022-01-02,12:05:21,
SCPA00003077,SCPA00003077,SIC0004416,PA00000004,2022-01-02,12:05:21,
SCPA00003078,SCPA00003078,SIC0002857,PA00000004,2022-01-02,12:05:21,
SCPA00003079,SCPA00003079,SIC0003443,PA00000004,2022-01-02,12:05:21,
SCPA00003080,SCPA00003080,SIC0000899,PA00000004,2022-01-02,12:05:21,
SCPA00003081,SCPA00003081,SIC0010939,PA00000004,2022-01-02,12:05:21,
SCPA00003082,SCPA00003082,SIC0005889,PA00000004,2022-01-02,12:05:21,
SCPA00003083,SCPA00003083,SIC0003334,PA00000004,2022-01-02,12:05:21,
SCPA00003084,SCPA00003084,SIC0004273,PA00000004,2022-01-02,12:05:21,
SCPA00003085,SCPA00003085,SIC0006067,PA00000004,2022-01-02,12:05:21,
SCPA00003086,SCPA00003086,SIC0005881,PA00000004,2022-01-02,12:05:21,
SCPA00003087,SCPA00003087,SIC0014596,PA00000004,2022-01-02,12:05:21,
SCPA00003088,SCPA00003088,SIC0010287,PA00000004,2022-01-02,12:05:21,
SCPA00003089,SCPA00003089,SIC0011411,PA00000004,2022-01-02,12:05:21,
SCPA00003090,SCPA00003090,SIC0011026,PA00000004,2022-01-02,12:05:21,
SCPA00003091,SCPA00003091,SIC0003630,PA00000004,2022-01-02,12:05:21,
