Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
SCPA00030000,SCPA00030000,SIC0005463,PA00000001,2022-01-02,12:05:21,
SCPA00030001,SCPA00030001,SIC0011253,PA00000001,2022-01-02,12:05:21,
SCPA00030002,SCPA00030002,SIC0011913,PA00000001,2022-01-02,12:05:21,
SCPA00030003,SCPA00030003,SIC0010729,PA00000001,2022-01-02,12:05:21,
SCPA00030004,SCPA00030004,SIC0003745,PA00000001,2022-01-02,12:05:21,
SCPA00030005,SCPA00030005,SIC0013312,PA00000001,2022-01-02,12:05:21,
SCPA00030006,SCPA00030006,SIC0001514,PA00000001,2022-01-02,12:05:21,
SCPA00030007,SCPA00030007,SIC0016391,PA00000001,2022-01-02,12:05:21,
SCPA00030008,SCPA00030008,SIC0015068,PA00000001,2022-01-02,12:05:21,
SCPA00030009,SCPA00030009,SIC0003275,PA00000001,2022-01-02,12:05:21,
SCPA00030010,SCPA00030010,SIC0002843,PA00000001,2022-01-02,12:05:21,
SCPA00030011,SCPA00030011,SIC0000292,PA00000001,2022-01-02,12:05:21,
SCPA00030012,SCPA00030012,SIC0006244,PA00000001,2022-01-02,12:05:21,
SCPA00030013,SCPA00030013,SIC0014516,PA00000001,2022-01-02,12:05:21,
SCPA00030014,SCPA00030014,SIC0016037,PA00000001,2022-01-02,12:05:21,
SCPA00030015,SCPA00030015,SIC0001727,PA00000001,2022-01-02,12:05:21,
SCPA00030016,SCPA00030016,SIC0005182,PA00000001,2022-01-02,12:05:21,
SCPA00030017,SCPA00030017,SIC0017382,PA00000001,2022-01-02,12:05:21,
SCPA00030018,SCPA00030018,SIC0006055,PA00000001,2022-01-02,12:05:21,
SCPA00030019,SCPA00030019,SIC0014528,PA00000001,2022-01-02,12:05:21,
SCPA00030020,SCPA00030020,SIC0002427,PA00000001,2022-01-02,12:05:21,
SCPA00030021,SCPA00030021,SIC0012031,PA00000001,2022-01-02,12:05:21,
SCPA00030022,SCPA00030022,SIC0001389,PA00000001,2022-01-02,12:05:21,
SCPA00030023,SCPA00030023,SIC0000375,PA00000001,2022-01-02,12:05:21,
SCPA00030024,SCPA00030024,SIC0000246,PA00000001,2022-01-02,12:05:21,
SCPA00030025,SCPA00030025,SIC0010589,PA00000001,2022-01-02,12:05:21,
SCPA00030026,SCPA00030026,SIC0005312,PA00000001,2022-01-02,12:05:21,
SCPA00030027,SCPA00030027,SIC0015174,PA00000001,2022-01-02,12:05:21,
SCPA00030028,SCPA00030028,SIC0001415,PA00000001,2022-01-02,12:05:21,
SCPA00030029,SCPA00030029,SIC0010341,PA00000001,2022-01-02,12:05:21,
SCPA00030030,SCPA00030030,SIC0001069,PA00000001,2022-01-02,12:05:21,
SCPA00030031,SCPA00030031,SIC0014833,PA00000001,2022-01-02,12:05:21,
SCPA00030032,SCPA00030032,SIC0010758,PA00000001,2022-01-02,12:05:21,
SCPA00030033,SCPA00030033,SIC0014894,PA00000001,2022-01-02,12:05:21,
SCPA00030034,SCPA00030034,SIC0015766,PA00000001,2022-01-02,12:05:21,
SCPA00030035,SCPA00030035,SIC0005870,PA00000001,2022-01-02,12:05:21,
SCPA00030036,SCPA00030036,SIC0016994,PA00000001,2022-01-02,12:05:21,
SCPA00030037,SCPA00030037,SIC0017209,PA00000001,2022-01-02,12:05:21,
SCPA00030038,SCPA00030038,SIC0014881,PA00000001,2022-01-02,12:05:21,
SCPA00030039,SCPA00030039,SIC0005313,PA00000001,2022-01-02,12:05:21,
SCPA00030040,SCPA00030040,SIC0004596,PA00000001,2022-01-02,12:05:21,
SCPA00030041,SCPA00030041,SIC0017742,PA00000001,2022-01-02,12:05:21,
SCPA00030042,SCPA00030042,SIC0015162,PA00000001,2022-01-02,12:05:21,
SCPA00030043,SCPA00030043,SIC0008940,PA00000001,2022-01-02,12:05:21,
SCPA00030044,SCPA00030044,SIC0001256,PA00000001,2022-01-02,12:05:21,
SCPA00030045,SCPA00030045,SIC0008761,PA00000001,2022-01-02,12:05:21,
SCPA00030046,SCPA00030046,SIC0005015,PA00000001,2022-01-02,12:05:21,
SCPA00030047,SCPA00030047,SIC0017379,PA00000001,2022-01-02,12:05:21,
SCPA00030048,SCPA00030048,SIC0005663,PA00000001,2022-01-02,12:05:21,
SCPA00030049,SCPA00030049,SIC0000560,PA00000001,2022-01-02,12:05:21,
SCPA00030050,SCPA00030050,SIC0002473,PA00000001,2022-01-02,12:05:21,
SCPA00030051,SCPA00030051,SIC0004519,PA00000001,2022-01-02,12:05:21,
SCPA00030052,SCPA00030052,SIC0016892,PA00000001,2022-01-02,12:05:21,
SCPA00030053,SCPA00030053,SIC0013179,PA00000001,2022-01-02,12:05:21,
SCPA00030054,SCPA00030054,SIC0012767,PA00000001,2022-01-02,12:05:21,
SCPA00030055,SCPA00030055,SIC0009843,PA00000001,2022-01-02,12:05:21,
SCPA00030056,SCPA00030056,SIC0014129,PA00000001,2022-01-02,12:05:21,
SCPA00030057,SCPA00030057,SIC0008919,PA00000001,2022-01-02,12:05:21,
SCPA00030058,SCPA00030058,SIC0009768,PA00000001,2022-01-02,12:05:21,
SCPA00030059,SCPA00030059,SIC0013425,PA00000001,2022-01-02,12:05:21,
SCPA00030060,SCPA00030060,SIC0001937,PA00000001,2022-01-02,12:05:21,
SCPA00030061,SCPA00030061,SIC0010326,PA00000001,2022-01-02,12:05:21,
SCPA00030062,SCPA00030062,SIC0017723,PA00000001,2022-01-02,12:05:21,
SCPA00030063,SCPA00030063,SIC0001252,PA00000001,2022-01-02,12:05:21,
SCPA00030064,SCPA00030064,SIC0005979,PA00000001,2022-01-02,12:05:21,
SCPA00030065,SCPA00030065,SIC0014766,PA00000001,2022-01-02,12:05:21,
SCPA00030066,SCPA00030066,SIC0003543,PA00000001,2022-01-02,12:05:21,
SCPA00030067,SCPA00030067,SIC0005683,PA00000001,2022-01-02,12:05:21,
SCPA00030068,SCPA00030068,SIC0003777,PA00000001,2022-01-02,12:05:21,
SCPA00030069,SCPA00030069,SIC0004571,PA00000001,2022-01-02,12:05:21,
SCPA00030070,SCPA00030070,SIC0000862,PA00000001,2022-01-02,12:05:21,
SCPA00030071,SCPA00030071,SIC0010320,PA00000001,2022-01-02,12:05:21,
SCPA00030072,SCPA00030072,SIC0012005,PA00000001,2022-01-02,12:05:21,
SCPA00030073,SCPA00030073,SIC0009649,PA00000001,2022-01-02,12:05:21,
SCPA00030074,SCPA00030074,SIC0000448,PA00000001,2022-01-02,12:05:21,
SCPA00030075,SCPA00030075,SIC0000085,PA00000001,2022-01-02,12:05:21,
SCPA00030076,SCPA00030076,SIC0011300,PA00000001,2022-01-02,12:05:21,
SCPA00030077,SCPA00030077,SIC0015058,PA00000001,2022-01-02,12:05:21,
SCPA00030078,SCPA00030078,SIC0017720,PA00000001,2022-01-02,12:05:21,
SCPA00030079,SCPA00030079,SIC0006145,PA00000001,2022-01-02,12:05:21,
SCPA00030080,SCPA00030080,SIC0013219,PA00000001,2022-01-02,12:05:21,
SCPA00030081,SCPA00030081,SIC0014808,PA00000001,2022-01-02,12:05:21,
SCPA00030082,SCPA00030082,SIC0003878,PA00000001,2022-01-02,12:05:21,
