Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
SCPA00021000,SCPA00021000,SIC0010395,PA00000001,2022-01-02,12:05:21,
SCPA00021001,SCPA00021001,SIC0005528,PA00000001,2022-01-02,12:05:21,
SCPA00021002,SCPA00021002,SIC0003805,PA00000001,2022-01-02,12:05:21,
SCPA00021003,SCPA00021003,SIC0015894,PA00000001,2022-01-02,12:05:21,
SCPA00021004,SCPA00021004,SIC0009278,PA00000001,2022-01-02,12:05:21,
SCPA00021005,SCPA00021005,SIC0011717,PA00000001,2022-01-02,12:05:21,
SCPA00021006,SCPA00021006,SIC0005164,PA00000001,2022-01-02,12:05:21,
SCPA00021007,SCPA00021007,SIC0016442,PA00000001,2022-01-02,12:05:21,
SCPA00021008,SCPA00021008,SIC0012732,PA00000001,2022-01-02,12:05:21,
SCPA00021009,SCPA00021009,SIC0016481,PA00000001,2022-01-02,12:05:21,
SCPA00021010,SCPA00021010,SIC0016012,PA00000001,2022-01-02,12:05:21,
SCPA00021011,SCPA00021011,SIC0010006,PA00000001,2022-01-02,12:05:21,
SCPA00021012,SCPA00021012,SIC0009949,PA00000001,2022-01-02,12:05:21,
SCPA00021013,SCPA00021013,SIC0000702,PA00000001,2022-01-02,12:05:21,
SCPA00021014,SCPA00021014,SIC0006028,PA00000001,2022-01-02,12:05:21,
SCPA00021015,SCPA00021015,SIC0015516,PA00000001,2022-01-02,12:05:21,
SCPA00021016,SCPA00021016,SIC0014366,PA00000001,2022-01-02,12:05:21,
SCPA00021017,SCPA00021017,SIC0016134,PA00000001,2022-01-02,12:05:21,
SCPA00021018,SCPA00021018,SIC0016698,PA00000001,2022-01-02,12:05:21,
SCPA00021019,SCPA00021019,SIC0012798,PA00000001,2022-01-02,12:05:21,
SCPA00021020,SCPA00021020,SIC0006572,PA00000001,2022-01-02,12:05:21,
SCPA00021021,SCPA00021021,SIC0009964,PA00000001,2022-01-02,12:05:21,
SCPA00021022,SCPA00021022,SIC0006160,PA00000001,2022-01-02,12:05:21,
SCPA00021023,SCPA00021023,SIC0016453,PA00000001,2022-01-02,12:05:21,
SCPA00021024,SCPA00021024,SIC0017309,PA00000001,2022-01-02,12:05:21,
SCPA00021025,SCPA00021025,SIC0017332,PA00000001,2022-01-02,12:05:21,
SCPA00021026,SCPA00021026,SIC0011628,PA00000001,2022-01-02,12:05:21,
SCPA00021027,SCPA00021027,SIC0001474,PA00000001,2022-01-02,12:05:21,
SCPA00021028,SCPA00021028,SIC0014784,PA00000001,2022-01-02,12:05:21,
SCPA00021029,SCPA00021029,SIC0005676,PA00000001,2022-01-02,12:05:21,
SCPA00021030,SCPA00021030,SIC0000074,PA00000001,2022-01-02,12:05:21,
SCPA00021031,SCPA00021031,SIC0008996,PA00000001,2022-01-02,12:05:21,
SCPA00021032,SCPA00021032,SIC0002256,PA00000001,2022-01-02,12:05:21,
SCPA00021033,SCPA00021033,SIC0010552,PA00000001,2022-01-02,12:05:21,
