Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
SCPA00012000,SCPA00012000,SIC0009638,PA00000002,2022-01-02,12:05:21,
SCPA00012001,SCPA00012001,SIC0016134,PA00000002,2022-01-02,12:05:21,
SCPA00012002,SCPA00012002,SIC0010672,PA00000002,2022-01-02,12:05:21,
SCPA00012003,SCPA00012003,SIC0012527,PA00000002,2022-01-02,12:05:21,
SCPA00012004,SCPA00012004,SIC0016834,PA00000002,2022-01-02,12:05:21,
SCPA00012005,SCPA00012005,SIC0008769,PA00000002,2022-01-02,12:05:21,
SCPA00012006,SCPA00012006,SIC0011860,PA00000002,2022-01-02,12:05:21,
SCPA00012007,SCPA00012007,SIC0004470,PA00000002,2022-01-02,12:05:21,
SCPA00012008,SCPA00012008,SIC0015101,PA00000002,2022-01-02,12:05:21,
SCPA00012009,SCPA00012009,SIC0015487,PA00000002,2022-01-02,12:05:21,
SCPA00012010,SCPA00012010,SIC0010567,PA00000002,2022-01-02,12:05:21,
SCPA00012011,SCPA00012011,SIC0012126,PA00000002,2022-01-02,12:05:21,
SCPA00012012,SCPA00012012,SIC0014598,PA00000002,2022-01-02,12:05:21,
SCPA00012013,SCPA00012013,SIC0004460,PA00000002,2022-01-02,12:05:21,
SCPA00012014,SCPA00012014,SIC0005009,PA00000002,2022-01-02,12:05:21,
SCPA00012015,SCPA00012015,SIC0015816,PA00000002,2022-01-02,12:05:21,
SCPA00012016,SCPA00012016,SIC0015973,PA00000002,2022-01-02,12:05:21,
SCPA00012017,SCPA00012017,SIC0014871,PA00000002,2022-01-02,12:05:21,
SCPA00012018,SCPA00012018,SIC0012841,PA00000002,2022-01-02,12:05:21,
SCPA00012019,SCPA00012019,SIC0002838,PA00000002,2022-01-02,12:05:21,
SCPA00012020,SCPA00012020,SIC0014922,PA00000002,2022-01-02,12:05:21,
SCPA00012021,SCPA00012021,SIC0014683,PA00000002,2022-01-02,12:05:21,
SCPA00012022,SCPA00012022,SIC0012620,PA00000002,2022-01-02,12:05:21,
SCPA00012023,SCPA00012023,SIC0015326,PA00000002,2022-01-02,12:05:21,
SCPA00012024,SCPA00012024,SIC0012072,PA00000002,2022-01-02,12:05:21,
SCPA00012025,SCPA00012025,SIC0016193,PA00000002,2022-01-02,12:05:21,
SCPA00012026,SCPA00012026,SIC0000447,PA00000002,2022-01-02,12:05:21,
SCPA00012027,SCPA00012027,SIC0002402,PA00000002,2022-01-02,12:05:21,
SCPA00012028,SCPA00012028,SIC0003655,PA00000002,2022-01-02,12:05:21,
SCPA00012029,SCPA00012029,SIC0015156,PA00000002,2022-01-02,12:05:21,
