Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
SCPA00025500,SCPA00025500,SIC0001316,PA00000001,2022-01-02,12:05:21,
SCPA00025501,SCPA00025501,SIC0003802,PA00000001,2022-01-02,12:05:21,
SCPA00025502,SCPA00025502,SIC0008802,PA00000001,2022-01-02,12:05:21,
SCPA00025503,SCPA00025503,SIC0015032,PA00000001,2022-01-02,12:05:21,
SCPA00025504,SCPA00025504,SIC0003603,PA00000001,2022-01-02,12:05:21,
SCPA00025505,SCPA00025505,SIC0016826,PA00000001,2022-01-02,12:05:21,
SCPA00025506,SCPA00025506,SIC0002907,PA00000001,2022-01-02,12:05:21,
SCPA00025507,SCPA00025507,SIC0012929,PA00000001,2022-01-02,12:05:21,
SCPA00025508,SCPA00025508,SIC0008735,PA00000001,2022-01-02,12:05:21,
SCPA00025509,SCPA00025509,SIC0001458,PA00000001,2022-01-02,12:05:21,
SCPA00025510,SCPA00025510,SIC0016171,PA00000001,2022-01-02,12:05:21,
SCPA00025511,SCPA00025511,SIC0011009,PA00000001,2022-01-02,12:05:21,
SCPA00025512,SCPA00025512,SIC0017330,PA00000001,2022-01-02,12:05:21,
SCPA00025513,SCPA00025513,SIC0005236,PA00000001,2022-01-02,12:05:21,
SCPA00025514,SCPA00025514,SIC0003517,PA00000001,2022-01-02,12:05:21,
SCPA00025515,SCPA00025515,SIC0016707,PA00000001,2022-01-02,12:05:21,
SCPA00025516,SCPA00025516,SIC0002524,PA00000001,2022-01-02,12:05:21,
SCPA00025517,SCPA00025517,SIC0011276,PA00000001,2022-01-02,12:05:21,
SCPA00025518,SCPA00025518,SIC0017626,PA00000001,2022-01-02,12:05:21,
SCPA00025519,SCPA00025519,SIC0000067,PA00000001,2022-01-02,12:05:21,
SCPA00025520,SCPA00025520,SIC0017707,PA00000001,2022-01-02,12:05:21,
SCPA00025521,SCPA00025521,SIC0003790,PA00000001,2022-01-02,12:05:21,
SCPA00025522,SCPA00025522,SIC0000882,PA00000001,2022-01-02,12:05:21,
SCPA00025523,SCPA00025523,SIC0013864,PA00000001,2022-01-02,12:05:21,
SCPA00025524,SCPA00025524,SIC0001186,PA00000001,2022-01-02,12:05:21,
SCPA00025525,SCPA00025525,SIC0004942,PA00000001,2022-01-02,12:05:21,
SCPA00025526,SCPA00025526,SIC0012637,PA00000001,2022-01-02,12:05:21,
SCPA00025527,SCPA00025527,SIC0002946,PA00000001,2022-01-02,12:05:21,
SCPA00025528,SCPA00025528,SIC0012283,PA00000001,2022-01-02,12:05:21,
SCPA00025529,SCPA00025529,SIC0016309,PA00000001,2022-01-02,12:05:21,
SCPA00025530,SCPA00025530,SIC0003715,PA00000001,2022-01-02,12:05:21,
SCPA00025531,SCPA00025531,SIC0003218,PA00000001,2022-01-02,12:05:21,
SCPA00025532,SCPA00025532,SIC0005685,PA00000001,2022-01-02,12:05:21,
SCPA00025533,SCPA00025533,SIC0003434,PA00000001,2022-01-02,12:05:21,
SCPA00025534,SCPA00025534,SIC0012746,PA00000001,2022-01-02,12:05:21,
SCPA00025535,SCPA00025535,SIC0009518,PA00000001,2022-01-02,12:05:21,
SCPA00025536,SCPA00025536,SIC0003552,PA00000001,2022-01-02,12:05:21,
SCPA00025537,SCPA00025537,SIC0008955,PA00000001,2022-01-02,12:05:21,
SCPA00025538,SCPA00025538,SIC0003895,PA00000001,2022-01-02,12:05:21,
SCPA00025539,SCPA00025539,SIC0003693,PA00000001,2022-01-02,12:05:21,
SCPA00025540,SCPA00025540,SIC0012495,PA00000001,2022-01-02,12:05:21,
SCPA00025541,SCPA00025541,SIC0012420,PA00000001,2022-01-02,12:05:21,
SCPA00025542,SCPA00025542,SIC0006264,PA00000001,2022-01-02,12:05:21,
SCPA00025543,SCPA00025543,SIC0011377,PA00000001,2022-01-02,12:05:21,
SCPA00025544,SCPA00025544,SIC0013561,PA00000001,2022-01-02,12:05:21,
SCPA00025545,SCPA00025545,SIC0017272,PA00000001,2022-01-02,12:05:21,
SCPA00025546,SCPA00025546,SIC0002407,PA00000001,2022-01-02,12:05:21,
SCPA00025547,SCPA00025547,SIC0009097,PA00000001,2022-01-02,12:05:21,
SCPA00025548,SCPA00025548,SIC0014393,PA00000001,2022-01-02,12:05:21,
SCPA00025549,SCPA00025549,SIC0016598,PA00000001,2022-01-02,12:05:21,
SCPA00025550,SCPA00025550,SIC0002929,PA00000001,2022-01-02,12:05:21,
SCPA00025551,SCPA00025551,SIC0008810,PA00000001,2022-01-02,12:05:21,
SCPA00025552,SCPA00025552,SIC0011700,PA00000001,2022-01-02,12:05:21,
SCPA00025553,SCPA00025553,SIC0009412,PA00000001,2022-01-02,12:05:21,
SCPA00025554,SCPA00025554,SIC0005859,PA00000001,2022-01-02,12:05:21,
SCPA00025555,SCPA00025555,SIC0002387,PA00000001,2022-01-02,12:05:21,
SCPA00025556,SCPA00025556,SIC0011883,PA00000001,2022-01-02,12:05:21,
SCPA00025557,SCPA00025557,SIC0016000,PA00000001,2022-01-02,12:05:21,
SCPA00025558,SCPA00025558,SIC0000998,PA00000001,2022-01-02,12:05:21,
SCPA00025559,SCPA00025559,SIC0013612,PA00000001,2022-01-02,12:05:21,
SCPA00025560,SCPA00025560,SIC0004361,PA00000001,2022-01-02,12:05:21,
SCPA00025561,SCPA00025561,SIC0010609,PA00000001,2022-01-02,12:05:21,
SCPA00025562,SCPA00025562,SIC0001840,PA00000001,2022-01-02,12:05:21,
SCPA00025563,SCPA00025563,SIC0011732,PA00000001,2022-01-02,12:05:21,
SCPA00025564,SCPA00025564,SIC0011454,PA00000001,2022-01-02,12:05:21,
SCPA00025565,SCPA00025565,SIC0015511,PA00000001,2022-01-02,12:05:21,
SCPA00025566,SCPA00025566,SIC0009900,PA00000001,2022-01-02,12:05:21,
SCPA00025567,SCPA00025567,SIC0005705,PA00000001,2022-01-02,12:05:21,
SCPA00025568,SCPA00025568,SIC0015273,PA00000001,2022-01-02,12:05:21,
SCPA00025569,SCPA00025569,SIC0005410,PA00000001,2022-01-02,12:05:21,
SCPA00025570,SCPA00025570,SIC0017444,PA00000001,2022-01-02,12:05:21,
SCPA00025571,SCPA00025571,SIC0016816,PA00000001,2022-01-02,12:05:21,
SCPA00025572,SCPA00025572,SIC0003491,PA00000001,2022-01-02,12:05:21,
SCPA00025573,SCPA00025573,SIC0004793,PA00000001,2022-01-02,12:05:21,
SCPA00025574,SCPA00025574,SIC0009755,PA00000001,2022-01-02,12:05:21,
SCPA00025575,SCPA00025575,SIC0006613,PA00000001,2022-01-02,12:05:21,
SCPA00025576,SCPA00025576,SIC0002362,PA00000001,2022-01-02,12:05:21,
SCPA00025577,SCPA00025577,SIC0014548,PA00000001,2022-01-02,12:05:21,
SCPA00025578,SCPA00025578,SIC0014462,PA00000001,2022-01-02,12:05:21,
SCPA00025579,SCPA00025579,SIC0005276,PA00000001,2022-01-02,12:05:21,
SCPA00025580,SCPA00025580,SIC0013372,PA00000001,2022-01-02,12:05:21,
SCPA00025581,SCPA00025581,SIC0000583,PA00000001,2022-01-02,12:05:21,
SCPA00025582,SCPA00025582,SIC0009674,PA00000001,2022-01-02,12:05:21,
SCPA00025583,SCPA00025583,SIC0010362,PA00000001,2022-01-02,12:05:21,
SCPA00025584,SCPA00025584,SIC0000402,PA00000001,2022-01-02,12:05:21,
SCPA00025585,SCPA00025585,SIC0016332,PA00000001,2022-01-02,12:05:21,
SCPA00025586,SCPA00025586,SIC0017531,PA00000001,2022-01-02,12:05:21,
SCPA00025587,SCPA00025587,SIC0001641,PA00000001,2022-01-02,12:05:21,
SCPA00025588,SCPA00025588,SIC0003833,PA00000001,2022-01-02,12:05:21,
SCPA00025589,SCPA00025589,SIC0002795,PA00000001,2022-01-02,12:05:21,
SCPA00025590,SCPA00025590,SIC0001283,PA00000001,2022-01-02,12:05:21,
SCPA00025591,SCPA00025591,SIC0005765,PA00000001,2022-01-02,12:05:21,
SCPA00025592,SCPA00025592,SIC0008568,PA00000001,2022-01-02,12:05:21,
SCPA00025593,SCPA00025593,SIC0011125,PA00000001,2022-01-02,12:05:21,
SCPA00025594,SCPA00025594,SIC0014602,PA00000001,2022-01-02,12:05:21,
SCPA00025595,SCPA00025595,SIC0017229,PA00000001,2022-01-02,12:05:21,
SCPA00025596,SCPA00025596,SIC0015283,PA00000001,2022-01-02,12:05:21,
SCPA00025597,SCPA00025597,SIC0004915,PA00000001,2022-01-02,12:05:21,
SCPA00025598,SCPA00025598,SIC0000384,PA00000001,2022-01-02,12:05:21,
SCPA00025599,SCPA00025599,SIC0015659,PA00000001,2022-01-02,12:05:21,
SCPA00025600,SCPA00025600,SIC0012754,PA00000001,2022-01-02,12:05:21,
SCPA00025601,SCPA00025601,SIC0017662,PA00000001,2022-01-02,12:05:21,
SCPA00025602,SCPA00025602,SIC0009394,PA00000001,2022-01-02,12:05:21,
SCPA00025603,SCPA00025603,SIC0014534,PA00000001,2022-01-02,12:05:21,
SCPA00025604,SCPA00025604,SIC0012722,PA00000001,2022-01-02,12:05:21,
SCPA00025605,SCPA00025605,SIC0016160,PA00000001,2022-01-02,12:05:21,
SCPA00025606,SCPA00025606,SIC0003994,PA00000001,2022-01-02,12:05:21,
SCPA00025607,SCPA00025607,SIC0003919,PA00000001,2022-01-02,12:05:21,
SCPA00025608,SCPA00025608,SIC0002682,PA00000001,2022-01-02,12:05:21,
SCPA00025609,SCPA00025609,SIC0013388,PA00000001,2022-01-02,12:05:21,
