Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
SCPA00006000,SCPA00006000,SIC0014106,PA00000004,2022-01-02,12:05:21,
SCPA00006001,SCPA00006001,SIC0016454,PA00000003,2022-01-02,12:05:21,
SCPA00006002,SCPA00006002,SIC0017190,PA00000003,2022-01-02,12:05:21,
SCPA00006003,SCPA00006003,SIC0003045,PA00000003,2022-01-02,12:05:21,
SCPA00006004,SCPA00006004,SIC0005478,PA00000003,2022-01-02,12:05:21,
SCPA00006005,SCPA00006005,SIC0010528,PA00000003,2022-01-02,12:05:21,
SCPA00006006,SCPA00006006,SIC0016250,PA00000003,2022-01-02,12:05:21,
SCPA00006007,SCPA00006007,SIC0010278,PA00000003,2022-01-02,12:05:21,
SCPA00006008,SCPA00006008,SIC0014357,PA00000003,2022-01-02,12:05:21,
SCPA00006009,SCPA00006009,SIC0017449,PA00000003,2022-01-02,12:05:21,
SCPA00006010,SCPA00006010,SIC0015686,PA00000003,2022-01-02,12:05:21,
SCPA00006011,SCPA00006011,SIC0009164,PA00000003,2022-01-02,12:05:21,
SCPA00006012,SCPA00006012,SIC0009334,PA00000003,2022-01-02,12:05:21,
SCPA00006013,SCPA00006013,SIC0012412,PA00000003,2022-01-02,12:05:21,
SCPA00006014,SCPA00006014,SIC0011127,PA00000003,2022-01-02,12:05:21,
SCPA00006015,SCPA00006015,SIC0001662,PA00000003,2022-01-02,12:05:21,
SCPA00006016,SCPA00006016,SIC0015494,PA00000003,2022-01-02,12:05:21,
SCPA00006017,SCPA00006017,SIC0005464,PA00000003,2022-01-02,12:05:21,
SCPA00006018,SCPA00006018,SIC0011923,PA00000003,2022-01-02,12:05:21,
SCPA00006019,SCPA00006019,SIC0015906,PA00000003,2022-01-02,12:05:21,
SCPA00006020,SCPA00006020,SIC0016572,PA00000003,2022-01-02,12:05:21,
SCPA00006021,SCPA00006021,SIC0004861,PA00000003,2022-01-02,12:05:21,
SCPA00006022,SCPA00006022,SIC0009684,PA00000003,2022-01-02,12:05:21,
SCPA00006023,SCPA00006023,SIC0001272,PA00000003,2022-01-02,12:05:21,
SCPA00006024,SCPA00006024,SIC0006132,PA00000003,2022-01-02,12:05:21,
SCPA00006025,SCPA00006025,SIC0010984,PA00000003,2022-01-02,12:05:21,
SCPA00006026,SCPA00006026,SIC0003812,PA00000003,2022-01-02,12:05:21,
SCPA00006027,SCPA00006027,SIC0002859,PA00000003,2022-01-02,12:05:21,
SCPA00006028,SCPA00006028,SIC0000753,PA00000003,2022-01-02,12:05:21,
SCPA00006029,SCPA00006029,SIC0002018,PA00000003,2022-01-02,12:05:21,
SCPA00006030,SCPA00006030,SIC0017300,PA00000003,2022-01-02,12:05:21,
SCPA00006031,SCPA00006031,SIC0017344,PA00000003,2022-01-02,12:05:21,
SCPA00006032,SCPA00006032,SIC0017302,PA00000003,2022-01-02,12:05:21,
SCPA00006033,SCPA00006033,SIC0000760,PA00000003,2022-01-02,12:05:21,
SCPA00006034,SCPA00006034,SIC0013812,PA00000003,2022-01-02,12:05:21,
SCPA00006035,SCPA00006035,SIC0010336,PA00000003,2022-01-02,12:05:21,
SCPA00006036,SCPA00006036,SIC0005256,PA00000003,2022-01-02,12:05:21,
SCPA00006037,SCPA00006037,SIC0016410,PA00000003,2022-01-02,12:05:21,
SCPA00006038,SCPA00006038,SIC0005300,PA00000003,2022-01-02,12:05:21,
SCPA00006039,SCPA00006039,SIC0003830,PA00000003,2022-01-02,12:05:21,
SCPA00006040,SCPA00006040,SIC0014011,PA00000003,2022-01-02,12:05:21,
SCPA00006041,SCPA00006041,SIC0011845,PA00000003,2022-01-02,12:05:21,
SCPA00006042,SCPA00006042,SIC0004613,PA00000003,2022-01-02,12:05:21,
SCPA00006043,SCPA00006043,SIC0003095,PA00000003,2022-01-02,12:05:21,
SCPA00006044,SCPA00006044,SIC0005683,PA00000003,2022-01-02,12:05:21,
SCPA00006045,SCPA00006045,SIC0004220,PA00000003,2022-01-02,12:05:21,
SCPA00006046,SCPA00006046,SIC0002674,PA00000003,2022-01-02,12:05:21,
SCPA00006047,SCPA00006047,SIC0001923,PA00000003,2022-01-02,12:05:21,
SCPA00006048,SCPA00006048,SIC0003061,PA00000003,2022-01-02,12:05:21,
SCPA00006049,SCPA00006049,SIC0010224,PA00000003,2022-01-02,12:05:21,
SCPA00006050,SCPA00006050,SIC0015994,PA00000003,2022-01-02,12:05:21,
SCPA00006051,SCPA00006051,SIC0002826,PA00000003,2022-01-02,12:05:21,
SCPA00006052,SCPA00006052,SIC0016523,PA00000003,2022-01-02,12:05:21,
SCPA00006053,SCPA00006053,SIC0008677,PA00000003,2022-01-02,12:05:21,
SCPA00006054,SCPA00006054,SIC0005376,PA00000003,2022-01-02,12:05:21,
SCPA00006055,SCPA00006055,SIC0001344,PA00000003,2022-01-02,12:05:21,
SCPA00006056,SCPA00006056,SIC0012124,PA00000003,2022-01-02,12:05:21,
SCPA00006057,SCPA00006057,SIC0001974,PA00000003,2022-01-02,12:05:21,
SCPA00006058,SCPA00006058,SIC0011859,PA00000003,2022-01-02,12:05:21,
SCPA00006059,SCPA00006059,SIC0006139,PA00000003,2022-01-02,12:05:21,
SCPA00006060,SCPA00006060,SIC0006528,PA00000003,2022-01-02,12:05:21,
SCPA00006061,SCPA00006061,SIC0014865,PA00000003,2022-01-02,12:05:21,
SCPA00006062,SCPA00006062,SIC0005614,PA00000003,2022-01-02,12:05:21,
SCPA00006063,SCPA00006063,SIC0012773,PA00000003,2022-01-02,12:05:21,
SCPA00006064,SCPA00006064,SIC0005000,PA00000003,2022-01-02,12:05:21,
SCPA00006065,SCPA00006065,SIC0017552,PA00000003,2022-01-02,12:05:21,
SCPA00006066,SCPA00006066,SIC0016900,PA00000003,2022-01-02,12:05:21,
SCPA00006067,SCPA00006067,SIC0003452,PA00000003,2022-01-02,12:05:21,
SCPA00006068,SCPA00006068,SIC0002687,PA00000003,2022-01-02,12:05:21,
SCPA00006069,SCPA00006069,SIC0017270,PA00000003,2022-01-02,12:05:21,
SCPA00006070,SCPA00006070,SIC0017384,PA00000003,2022-01-02,12:05:21,
SCPA00006071,SCPA00006071,SIC0001030,PA00000003,2022-01-02,12:05:21,
SCPA00006072,SCPA00006072,SIC0005845,PA00000003,2022-01-02,12:05:21,
SCPA00006073,SCPA00006073,SIC0002958,PA00000003,2022-01-02,12:05:21,
SCPA00006074,SCPA00006074,SIC0003335,PA00000003,2022-01-02,12:05:21,
SCPA00006075,SCPA00006075,SIC0000780,PA00000003,2022-01-02,12:05:21,
SCPA00006076,SCPA00006076,SIC0000481,PA00000003,2022-01-02,12:05:21,
SCPA00006077,SCPA00006077,SIC0013178,PA00000003,2022-01-02,12:05:21,
SCPA00006078,SCPA00006078,SIC0015239,PA00000003,2022-01-02,12:05:21,
SCPA00006079,SCPA00006079,SIC0013839,PA00000003,2022-01-02,12:05:21,
SCPA00006080,SCPA00006080,SIC0004297,PA00000003,2022-01-02,12:05:21,
SCPA00006081,SCPA00006081,SIC0014212,PA00000003,2022-01-02,12:05:21,
SCPA00006082,SCPA00006082,SIC0006064,PA00000003,2022-01-02,12:05:21,
SCPA00006083,SCPA00006083,SIC0006346,PA00000003,2022-01-02,12:05:21,
