Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
Clave,Folio,Clave Ciudadano,Clave Programa Apoyo,Fecha,Hora,Observaciones
SCPA00028500,SCPA00028500,SIC0003398,PA00000001,2022-01-02,12:05:21,
SCPA00028501,SCPA00028501,SIC0002520,PA00000001,2022-01-02,12:05:21,
SCPA00028502,SCPA00028502,SIC0006227,PA00000001,2022-01-02,12:05:21,
SCPA00028503,SCPA00028503,SIC0017554,PA00000001,2022-01-02,12:05:21,
SCPA00028504,SCPA00028504,SIC0001660,PA00000001,2022-01-02,12:05:21,
SCPA00028505,SCPA00028505,SIC0016006,PA00000001,2022-01-02,12:05:21,
SCPA00028506,SCPA00028506,SIC0011556,PA00000001,2022-01-02,12:05:21,
SCPA00028507,SCPA00028507,SIC0008705,PA00000001,2022-01-02,12:05:21,
SCPA00028508,SCPA00028508,SIC0015385,PA00000001,2022-01-02,12:05:21,
SCPA00028509,SCPA00028509,SIC0011038,PA00000001,2022-01-02,12:05:21,
SCPA00028510,SCPA00028510,SIC0006432,PA00000001,2022-01-02,12:05:21,
SCPA00028511,SCPA00028511,SIC0015966,PA00000001,2022-01-02,12:05:21,
SCPA00028512,SCPA00028512,SIC0011366,PA00000001,2022-01-02,12:05:21,
SCPA00028513,SCPA00028513,SIC0014660,PA00000001,2022-01-02,12:05:21,
SCPA00028514,SCPA00028514,SIC0000472,PA00000001,2022-01-02,12:05:21,
SCPA00028515,SCPA00028515,SIC0004607,PA00000001,2022-01-02,12:05:21,
SCPA00028516,SCPA00028516,SIC0003211,PA00000001,2022-01-02,12:05:21,
SCPA00028517,SCPA00028517,SIC0005617,PA00000001,2022-01-02,12:05:21,
SCPA00028518,SCPA00028518,SIC0005387,PA00000001,2022-01-02,12:05:21,
SCPA00028519,SCPA00028519,SIC0009709,PA00000001,2022-01-02,12:05:21,
SCPA00028520,SCPA00028520,SIC0000403,PA00000001,2022-01-02,12:05:21,
SCPA00028521,SCPA00028521,SIC0000586,PA00000001,2022-01-02,12:05:21,
SCPA00028522,SCPA00028522,SIC0016811,PA00000001,2022-01-02,12:05:21,
SCPA00028523,SCPA00028523,SIC0002239,PA00000001,2022-01-02,12:05:21,
SCPA00028524,SCPA00028524,SIC0016753,PA00000001,2022-01-02,12:05:21,
SCPA00028525,SCPA00028525,SIC0010364,PA00000001,2022-01-02,12:05:21,
SCPA00028526,SCPA00028526,SIC0009252,PA00000001,2022-01-02,12:05:21,
SCPA00028527,SCPA00028527,SIC0012623,PA00000001,2022-01-02,12:05:21,
SCPA00028528,SCPA00028528,SIC0005854,PA00000001,2022-01-02,12:05:21,
SCPA00028529,SCPA00028529,SIC0014301,PA00000001,2022-01-02,12:05:21,
SCPA00028530,SCPA00028530,SIC0014432,PA00000001,2022-01-02,12:05:21,
SCPA00028531,SCPA00028531,SIC0012511,PA00000001,2022-01-02,12:05:21,
SCPA00028532,SCPA00028532,SIC0008659,PA00000001,2022-01-02,12:05:21,
SCPA00028533,SCPA00028533,SIC0002405,PA00000001,2022-01-02,12:05:21,
SCPA00028534,SCPA00028534,SIC0006492,PA00000001,2022-01-02,12:05:21,
SCPA00028535,SCPA00028535,SIC0001975,PA00000001,2022-01-02,12:05:21,
SCPA00028536,SCPA00028536,SIC0012377,PA00000001,2022-01-02,12:05:21,
SCPA00028537,SCPA00028537,SIC0003020,PA00000001,2022-01-02,12:05:21,
SCPA00028538,SCPA00028538,SIC0015439,PA00000001,2022-01-02,12:05:21,
SCPA00028539,SCPA00028539,SIC0011404,PA00000001,2022-01-02,12:05:21,
SCPA00028540,SCPA00028540,SIC0002534,PA00000001,2022-01-02,12:05:21,
SCPA00028541,SCPA00028541,SIC0009317,PA00000001,2022-01-02,12:05:21,
SCPA00028542,SCPA00028542,SIC0005070,PA00000001,2022-01-02,12:05:21,
SCPA00028543,SCPA00028543,SIC0014413,PA00000001,2022-01-02,12:05:21,
SCPA00028544,SCPA00028544,SIC0005565,PA00000001,2022-01-02,12:05:21,
SCPA00028545,SCPA00028545,SIC0012773,PA00000001,2022-01-02,12:05:21,
SCPA00028546,SCPA00028546,SIC0004959,PA00000001,2022-01-02,12:05:21,
SCPA00028547,SCPA00028547,SIC0002403,PA00000001,2022-01-02,12:05:21,
SCPA00028548,SCPA00028548,SIC0014289,PA00000001,2022-01-02,12:05:21,
SCPA00028549,SCPA00028549,SIC0014661,PA00000001,2022-01-02,12:05:21,
SCPA00028550,SCPA00028550,SIC0013684,PA00000001,2022-01-02,12:05:21,
SCPA00028551,SCPA00028551,SIC0003941,PA00000001,2022-01-02,12:05:21,
SCPA00028552,SCPA00028552,SIC0006280,PA00000001,2022-01-02,12:05:21,
SCPA00028553,SCPA00028553,SIC0000645,PA00000001,2022-01-02,12:05:21,
SCPA00028554,SCPA00028554,SIC0016053,PA00000001,2022-01-02,12:05:21,
SCPA00028555,SCPA00028555,SIC0012698,PA00000001,2022-01-02,12:05:21,
