Fecha,Hora,Megabytes Normal,Megabytes Picos,Megabytes MySQL
2023-08-03,16:24:44,14.53,14.72,96.296875
2023-08-03,16:26:28,14.53,14.72,96.296875
2023-08-03,16:26:35,0.78,0.99,96.296875
2023-08-03,16:26:41,0.78,0.99,96.296875
2023-08-03,18:23:31,1.41,1.49,45.4375
2023-08-03,18:23:52,0.78,0.99,45.484375
2023-08-03,18:24:37,0.77,0.99,46.25
2023-08-03,18:24:53,1.43,1.61,54.96875
2023-08-03,18:25:34,1.43,1.61,54.96875
2023-08-03,18:25:41,0.78,0.99,54.96875
2023-08-03,18:26:13,0.78,0.93,60.25
2023-08-03,18:26:37,0.78,0.99,61.625
2023-08-03,18:27:05,14.68,14.97,78.90625
2023-08-03,18:27:17,18.55,18.75,144.1875
2023-08-04,10:19:13,1.41,1.48,45.625
2023-08-04,10:19:50,0.77,0.98,45.625
2023-08-04,10:20:50,0.77,0.99,45.78125
2023-08-04,10:21:42,0.77,0.99,45.78125
2023-08-04,10:22:30,0.72,0.86,45.8125
2023-08-04,10:31:29,1.42,1.6,45.84375
2023-08-04,10:32:22,0.77,0.99,45.84375
2023-08-04,10:35:40,0.77,0.99,45.84375
2023-08-04,10:36:09,0.77,0.98,45.84375
2023-08-04,10:37:32,0.77,0.99,45.84375
2023-08-04,10:37:39,23.43,27.86,66.21875
2023-08-04,10:38:03,35.39,35.68,77.046875
2023-08-04,10:38:17,39.26,39.46,141.5
2023-08-04,10:38:28,30.17,31.89,141.5
2023-08-04,10:42:36,30.19,31.91,141.640625
2023-08-04,10:42:54,30.19,31.91,142.140625
2023-08-04,10:43:00,34.76,35.85,142.140625
2023-08-04,10:43:36,34.69,35.86,142.140625
2023-08-04,10:45:33,34.72,35.86,142.84375
2023-08-04,10:45:39,34.69,35.86,142.84375
2023-08-04,10:47:29,34.73,35.86,142.875
2023-08-04,10:47:35,30.18,31.91,142.875
2023-08-04,10:47:48,44.12,44.37,143.21875
2023-08-04,10:47:59,18.55,18.75,143.21875
2023-08-04,11:58:41,1.41,1.48,162.296875
2023-08-04,11:59:12,1.41,1.48,162.296875
2023-08-04,11:59:18,0.77,0.99,162.296875
2023-08-04,11:59:27,1.22,2.14,164.875
2023-08-04,12:01:16,0.87,1.08,170.515625
2023-08-04,12:01:24,1.25,2.18,170.515625
2023-08-04,12:03:18,1.25,2.18,170.515625
2023-08-04,12:12:39,1.25,2.18,67.515625
2023-08-04,12:13:06,0.87,1.08,78.625
2023-08-04,12:13:26,14.81,15.06,84.078125
2023-08-04,12:13:49,18.55,18.75,135.640625
2023-08-04,12:14:27,30.17,31.9,135.640625
2023-08-04,12:23:14,30.18,31.9,655.875
2023-08-04,12:23:24,7.68,31.9,655.875
2023-08-04,12:24:26,0.89,1.11,655.953125
2023-08-04,12:24:43,1.43,1.61,662.90625
2023-08-04,12:26:04,0.79,1,171
2023-08-04,14:37:35,1.42,1.49,60.59375
2023-08-05,10:07:22,1.41,1.48,32.28125
2023-08-05,13:55:31,1.41,1.48,26.421875
2023-08-05,13:55:55,0.77,0.98,26.421875
2023-08-05,13:58:49,0.77,0.99,473.375
2023-08-05,13:58:58,1.22,2.15,490.875
2023-08-05,14:00:40,103.26,109.3,588.09375
2023-08-05,14:01:42,103.25,109.3,590.15625
2023-08-05,14:02:17,0.87,1.08,590.15625
2023-08-05,14:02:36,14.81,15.06,596.359375
2023-08-05,14:03:22,18.56,18.76,597.78125
2023-08-05,14:04:19,30.18,31.91,597.78125
2023-08-05,14:04:37,47.71,47.99,617.59375
2023-08-05,14:05:30,22.28,22.48,617.59375
2023-08-05,14:06:03,37.88,40.37,617.59375
2023-08-05,14:06:15,51.82,52.11,617.59375
2023-08-05,14:06:26,18.56,18.76,617.59375
2023-08-05,14:11:07,30.18,31.91,617.59375
2023-08-05,14:16:24,44.12,44.41,617.59375
2023-08-05,14:16:30,30.18,31.91,617.59375
2023-08-05,14:17:56,30.17,31.9,617.59375
2023-08-05,14:18:03,7.68,31.9,617.59375
2023-08-05,14:18:56,1.26,2.19,617.59375
2023-08-05,14:27:19,0.88,1.09,621.265625
2023-08-05,14:27:32,17.57,21.37,643.9375
2023-08-05,14:35:14,23.55,23.78,644.15625
2023-08-05,14:35:54,18.97,21.53,644.1875
2023-08-05,14:36:22,23.55,23.78,644.1875
2023-08-06,21:15:47,1.41,1.48,63.625
2023-08-06,21:16:07,0.77,0.92,70.8125
2023-08-06,21:16:11,0.77,0.98,70.8125
2023-08-06,21:16:30,4.26,4.42,84.25
2023-08-06,21:16:40,4.96,5.1,89.453125
2023-08-06,22:43:15,1.41,1.48,89.453125
2023-08-06,22:43:20,0.77,0.98,89.453125
2023-08-06,22:43:28,4.71,4.86,94.78125
2023-08-06,22:43:41,5.42,5.55,94.78125
2023-08-06,22:45:01,5.36,5.57,94.78125
2023-08-06,22:45:08,8.88,9,94.78125
2023-08-06,22:45:15,4.96,5.1,94.78125
2023-08-06,23:10:25,5.76,5.89,94.78125
2023-08-06,23:10:46,4.41,4.62,94.78125
2023-08-06,23:11:05,4.41,4.63,95
2023-08-06,23:11:26,30.73,30.9,163.546875
2023-08-06,23:11:49,35.56,35.81,225.390625
2023-08-07,09:24:36,1.41,1.48,64.59375
2023-08-07,09:50:49,0.77,0.98,64.59375
2023-08-07,09:51:17,1.22,2.14,134.90625
2023-08-07,09:51:26,0.87,1.08,141.1875
2023-08-07,09:56:45,0.87,1.08,589.25
2023-08-07,09:57:17,1.25,2.18,589.25
2023-08-07,09:57:22,0.87,1.08,589.25
2023-08-07,09:58:05,0.87,1.08,589.25
2023-08-07,09:58:16,43.43,53.62,589.296875
2023-08-07,09:59:18,0.85,1.06,589.296875
2023-08-07,09:59:22,1.25,2.18,589.296875
2023-08-07,09:59:44,0.87,1.08,590.421875
2023-08-07,09:59:50,1.26,2.18,593.9375
2023-08-07,10:05:18,1.27,2.19,602.21875
2023-08-07,10:05:39,0.87,1.09,602.21875
2023-08-07,10:05:55,4.4,4.52,603.421875
2023-08-07,10:06:47,4.35,4.56,603.421875
2023-08-07,10:07:36,4.4,4.52,603.421875
2023-08-07,10:07:43,4.97,5.11,603.734375
2023-08-07,10:10:02,4.42,4.64,603.734375
2023-08-23,21:48:59,1.41,1.48,26.3125
2023-08-23,21:49:55,0.77,0.92,27.46875
2023-08-23,21:51:32,1.42,1.6,36.234375
2023-08-23,21:53:24,1.42,1.6,36.234375
2023-08-23,21:53:45,1.42,1.6,36.234375
2023-08-23,21:53:49,0.77,0.99,36.234375
2023-08-23,21:54:06,1.18,2.23,36.515625
2023-08-23,21:54:18,0.82,1.03,56.203125
2023-08-23,21:55:03,0.82,1.03,57.71875
2023-08-23,21:55:11,5.55,6.48,90.71875
2023-08-23,21:55:32,5.54,6.46,90.71875
2023-08-23,21:55:57,5.54,6.46,90.71875
2023-08-23,21:56:20,0.78,0.99,90.71875
2023-08-23,21:57:36,0.73,0.88,90.71875
2023-08-23,23:56:12,0.73,0.88,90.71875
2023-08-23,23:56:22,0.78,0.99,90.71875
2023-08-23,23:56:46,1.24,2.25,158.5
2023-08-24,11:49:31,1.41,1.48,21.609375
2023-08-24,11:49:37,0.77,0.98,21.609375
2023-08-24,11:50:10,1.23,2.23,99.234375
2023-08-24,11:50:53,0.88,1.1,107.921875
2023-08-24,11:50:59,1.26,2.27,111.328125
2023-08-24,11:57:57,1.71,1.88,113.359375
2023-08-24,11:58:30,1.33,1.55,113.453125
2023-08-24,11:58:36,1.72,2.39,113.578125
2023-08-24,11:58:47,36.8,408.4,113.59375
2023-08-24,12:01:15,1.72,2.39,734.875
2023-08-24,12:02:39,273.47,290.52,773.640625
2023-08-24,12:09:40,273.47,290.52,781.671875
2023-08-24,12:10:16,303.28,303.77,800.359375
2023-08-24,12:11:05,303.09,303.52,800.359375
2023-08-24,12:13:31,303.28,303.77,800.359375
2023-08-24,12:14:08,40.4,40.84,802.296875
2023-08-24,12:25:44,64.71,69.14,802.296875
2023-08-24,12:25:54,76.73,79.5,802.296875
2023-08-24,12:26:06,76.64,79.52,802.296875
2023-08-24,12:26:52,64.72,69.16,802.296875
2023-08-24,12:27:04,77.43,80.4,868.96875
2023-08-28,02:10:41,1.41,1.48,35.1875
2023-08-28,02:10:41,1.41,1.48,35.1875
2023-08-28,02:11:30,0.77,0.98,35.1875
2023-08-28,02:14:29,0.77,0.98,35.1875
2023-08-28,02:14:48,0.77,0.99,35.1875
2023-08-28,02:14:58,0.78,0.99,91.796875
2023-08-28,02:27:22,1.41,1.48,94.546875
2023-08-28,02:27:28,0.77,0.98,94.546875
2023-08-29,08:32:08,1.41,1.48,43.984375
2023-08-29,08:32:32,1.42,1.6,70.609375
2023-08-29,08:32:36,0.77,0.99,70.609375
2023-08-29,08:38:03,0.78,0.99,742.40625
2023-08-29,08:38:40,0.83,1.93,742.40625
2023-08-29,08:39:59,0.83,1.93,742.75
2023-08-29,08:41:35,0.78,0.99,742.796875
2023-08-29,08:41:46,1.23,2.24,780.421875
2023-08-29,08:42:32,36.41,408,792.859375
2023-08-29,08:43:20,1.32,2.29,792.890625
2023-08-29,08:43:29,0.93,1.14,792.890625
2023-08-29,08:43:33,1.32,2.29,792.890625
2023-08-29,08:44:03,273.48,290.52,801.6875
2023-08-29,08:54:06,1.27,2.28,801.75
2023-08-29,08:57:31,1.01,1.22,801.75
2023-08-29,08:58:20,30.81,31.31,820.4375
2023-08-29,08:58:22,1.43,54.22,820.4375
2023-08-29,08:58:37,1.42,1.6,820.46875
2023-08-29,08:58:50,0.77,0.99,821.375
2023-08-29,08:59:06,1.42,1.6,821.375
2023-08-29,08:59:10,0.77,0.99,821.375
2023-08-29,08:59:21,14.52,14.71,837.859375
2023-08-29,08:59:41,14.65,14.84,838.625
2023-08-29,08:59:55,14.5,14.8,838.625
2023-08-29,09:00:05,14.65,14.84,838.625
2023-08-29,09:00:33,0.77,0.99,838.625
2023-08-29,09:00:43,14.53,14.71,838.625
2023-08-29,09:01:31,39.58,40.11,838.625
2023-08-29,09:01:52,39.5,39.86,838.625
2023-08-29,09:02:07,39.43,39.86,838.625
2023-08-29,09:03:38,39.58,40.11,838.625
2023-08-29,09:04:50,49.43,49.87,840.484375
2023-08-29,10:03:06,1.41,1.48,7140.453125
2023-08-29,10:03:13,0.77,0.99,7140.453125
2023-08-29,10:07:59,0.83,1.93,7234.3125
2023-08-29,10:20:31,0.83,1.93,7234.3125
2023-08-29,10:32:29,0.83,1.93,7234.3125
2023-08-29,10:32:39,0.78,0.99,7234.3125
2023-08-29,10:32:45,1.23,2.24,7236.796875
2023-08-29,10:32:55,36.59,407.97,7236.90625
2023-08-29,10:33:32,1.26,2.27,7236.90625
2023-08-29,20:52:10,1.39,54.22,696.390625
2023-08-29,20:52:40,1.42,1.6,696.546875
2023-08-29,21:34:22,0.77,0.99,696.609375
2023-08-29,21:34:29,0.77,0.99,696.640625
2023-08-29,21:34:39,0.77,0.99,696.640625
2023-08-29,21:34:43,0.77,0.99,696.640625
2023-08-29,21:34:48,36.1,44.36,705.375
2023-08-31,08:14:04,1.41,1.48,207.546875
2023-08-31,08:16:06,0.71,0.85,226.09375
2023-08-31,08:16:19,1.42,1.6,226.09375
2023-08-31,08:17:44,0.77,0.99,226.140625
2023-08-31,08:48:09,0.8,1.02,226.15625
2023-08-31,08:48:17,1.1,1.25,226.15625
2023-08-31,08:48:42,0.81,1.02,226.15625
2023-08-31,10:47:26,0.79,0.87,406.140625
2023-08-31,10:50:17,33.63,35.42,406.140625
2023-08-31,10:50:28,1.41,1.48,406.140625
2023-08-31,11:17:32,31.8,33.45,433.1875
2023-08-31,11:17:56,31.8,33.45,433.1875
2023-08-31,11:21:37,31.81,33.46,453.40625
2023-08-31,11:22:42,58.53,65.83,453.40625
2023-08-31,11:24:03,58.53,65.83,453.40625
2023-08-31,11:24:25,58.53,65.83,453.40625
2023-08-31,11:28:58,58.53,65.83,453.40625
2023-08-31,11:30:20,58.53,65.83,453.40625
2023-08-31,11:33:55,58.53,65.83,453.40625
2023-08-31,11:51:25,0.75,0.83,454.390625
2023-08-31,11:53:51,0.75,0.83,454.390625
2023-08-31,11:56:48,0.75,0.83,454.390625
2023-08-31,12:01:26,0.75,0.83,454.390625
