Clave,Clave Seccion INE,Clave Casilla,Clave Partido,Votos,Tipo
Clave,Clave Seccion INE,Clave Casilla,Clave Partido,Votos,Tipo
CSV21000001-A,6657,CSV22000769-A,PRV22001,3,0
CSV21000001-B,6658,CSV22000769-B,PRV22001,3,0
CSV21000001-C,6659,CSV22000769-C,PRV22001,3,0
CSV21000002-A,6657,CSV22000769-A,PRV22002,50,0
CSV21000002-B,6658,CSV22000769-B,PRV22002,50,0
CSV21000002-C,6659,CSV22000769-C,PRV22002,50,0
CSV21000003-A,6657,CSV22000770-A,PRV22001,5,0
CSV21000003-B,6658,CSV22000770-B,PRV22001,4,0
CSV21000003-C,6659,CSV22000770-C,PRV22001,4,0
CSV21000004-A,6657,CSV22000770-A,PRV22002,53,0
CSV21000004-B,6658,CSV22000770-B,PRV22002,53,0
CSV21000004-C,6659,CSV22000770-C,PRV22002,52,0
CSV21000005-A,6657,CSV22000771-A,PRV22001,2,0
CSV21000005-B,6658,CSV22000771-B,PRV22001,2,0
CSV21000005-C,6659,CSV22000771-C,PRV22001,2,0
CSV21000006-A,6657,CSV22000771-A,PRV22002,57,0
CSV21000006-B,6658,CSV22000771-B,PRV22002,56,0
CSV21000006-C,6659,CSV22000771-C,PRV22002,56,0
CSV21000007-A,6660,CSV22001346-A,PRV22001,18,0
CSV21000007-B,6661,CSV22001346-B,PRV22001,18,0
CSV21000008-A,6660,CSV22001346-A,PRV22002,106,0
CSV21000008-B,6661,CSV22001346-B,PRV22002,105,0
CSV21000009-A,6660,CSV22001347-A,PRV22001,16,0
CSV21000009-B,6661,CSV22001347-B,PRV22001,15,0
CSV21000010-A,6660,CSV22001347-A,PRV22002,100,0
CSV21000010-B,6661,CSV22001347-B,PRV22002,99,0
CSV21000011-A,6660,CSV22001348-A,PRV22001,14,0
CSV21000011-B,6661,CSV22001348-B,PRV22001,13,0
CSV21000012-A,6660,CSV22001348-A,PRV22002,106,0
CSV21000012-B,6661,CSV22001348-B,PRV22002,106,0
CSV21000013-A,6664,CSV22002866-A,PRV22001,7,0
CSV21000013-B,6665,CSV22002866-B,PRV22001,7,0
CSV21000014-A,6664,CSV22002866-A,PRV22002,118,0
CSV21000014-B,6665,CSV22002866-B,PRV22002,117,0
CSV21000015-A,6664,CSV22002867-A,PRV22001,10,0
CSV21000015-B,6665,CSV22002867-B,PRV22001,9,0
CSV21000016-A,6664,CSV22002867-A,PRV22002,103,0
CSV21000016-B,6665,CSV22002867-B,PRV22002,103,0
CSV21000017-A,6666,CSV22003104-A,PRV22001,6,0
CSV21000017-B,6667,CSV22003104-B,PRV22001,6,0
CSV21000017-C,6668,CSV22003104-C,PRV22001,6,0
CSV21000018-A,6666,CSV22003104-A,PRV22002,81,0
CSV21000018-B,6667,CSV22003104-B,PRV22002,81,0
CSV21000018-C,6668,CSV22003104-C,PRV22002,81,0
CSV21000019-A,6666,CSV22003105-A,PRV22001,6,0
CSV21000019-B,6667,CSV22003105-B,PRV22001,6,0
CSV21000019-C,6668,CSV22003105-C,PRV22001,6,0
CSV21000020-A,6666,CSV22003105-A,PRV22002,93,0
CSV21000020-B,6667,CSV22003105-B,PRV22002,92,0
CSV21000020-C,6668,CSV22003105-C,PRV22002,92,0
CSV21000021-A,6666,CSV22003106-A,PRV22001,8,0
CSV21000021-B,6667,CSV22003106-B,PRV22001,8,0
CSV21000021-C,6668,CSV22003106-C,PRV22001,8,0
CSV21000022-A,6666,CSV22003106-A,PRV22002,47,0
CSV21000022-B,6667,CSV22003106-B,PRV22002,47,0
CSV21000022-C,6668,CSV22003106-C,PRV22002,47,0
CSV21000023-A,6669,CSV22003251-A,PRV22001,11,0
CSV21000023-B,6670,CSV22003251-B,PRV22001,10,0
CSV21000024-A,6669,CSV22003251-A,PRV22002,142,0
CSV21000024-B,6670,CSV22003251-B,PRV22002,141,0
CSV21000025-A,6669,CSV22003252-A,PRV22001,12,0
CSV21000025-B,6670,CSV22003252-B,PRV22001,11,0
CSV21000026-A,6669,CSV22003252-A,PRV22002,117,0
CSV21000026-B,6670,CSV22003252-B,PRV22002,116,0
CSV21000027-A,6671,CSV22004769-A,PRV22001,12,0
CSV21000027-B,6672,CSV22004769-B,PRV22001,12,0
CSV21000028-A,6671,CSV22004769-A,PRV22002,114,0
CSV21000028-B,6672,CSV22004769-B,PRV22002,114,0
CSV21000029-A,6671,CSV22004770-A,PRV22001,11,0
CSV21000029-B,6672,CSV22004770-B,PRV22001,11,0
CSV21000030-A,6671,CSV22004770-A,PRV22002,101,0
CSV21000030-B,6672,CSV22004770-B,PRV22002,101,0
CSV21000031-A,6673,CSV22005013-A,PRV22001,7,0
CSV21000031-B,6674,CSV22005013-B,PRV22001,7,0
CSV21000032-A,6673,CSV22005013-A,PRV22002,166,0
CSV21000032-B,6674,CSV22005013-B,PRV22002,166,0
CSV21000033-A,6673,CSV22005014-A,PRV22001,7,0
CSV21000033-B,6674,CSV22005014-B,PRV22001,7,0
CSV21000034-A,6673,CSV22005014-A,PRV22002,148,0
CSV21000034-B,6674,CSV22005014-B,PRV22002,148,0
CSV21000035-A,6675,CSV22006316-A,PRV22001,19,0
CSV21000035-B,6676,CSV22006316-B,PRV22001,18,0
CSV21000036-A,6675,CSV22006316-A,PRV22002,67,0
CSV21000036-B,6676,CSV22006316-B,PRV22002,67,0
CSV21000037-A,6675,CSV22006317-A,PRV22001,23,0
CSV21000037-B,6676,CSV22006317-B,PRV22001,23,0
CSV21000038-A,6675,CSV22006317-A,PRV22002,74,0
CSV21000038-B,6676,CSV22006317-B,PRV22002,73,0
CSV21000039-A,6677,CSV22006630-A,PRV22001,8,0
CSV21000039-B,6678,CSV22006630-B,PRV22001,7,0
CSV21000040-A,6677,CSV22006630-A,PRV22002,96,0
CSV21000040-B,6678,CSV22006630-B,PRV22002,95,0
CSV21000041-A,6677,CSV22006631-A,PRV22001,7,0
CSV21000041-B,6678,CSV22006631-B,PRV22001,7,0
CSV21000042-A,6677,CSV22006631-A,PRV22002,98,0
CSV21000042-B,6678,CSV22006631-B,PRV22002,97,0
CSV21000043-A,6677,CSV22006632-A,PRV22001,8,0
CSV21000043-B,6678,CSV22006632-B,PRV22001,7,0
CSV21000044-A,6677,CSV22006632-A,PRV22002,91,0
CSV21000044-B,6678,CSV22006632-B,PRV22002,91,0
