Fecha,Hora,Megabytes Normal,Megabytes Picos
2023-08-03,16:24:44,14.51,14.72
2023-08-03,16:26:28,14.52,14.72
2023-08-03,16:26:35,0.76,0.99
2023-08-03,16:26:41,0.76,0.99
2023-08-03,18:23:31,1.39,1.49
2023-08-03,18:23:52,0.76,0.99
2023-08-03,18:24:37,0.76,0.99
2023-08-03,18:24:53,1.41,1.61
2023-08-03,18:25:34,1.41,1.61
2023-08-03,18:25:41,0.76,0.99
2023-08-03,18:26:13,0.76,0.93
2023-08-03,18:26:37,0.76,0.99
2023-08-03,18:27:05,14.66,14.97
2023-08-03,18:27:17,18.53,18.75
2023-08-04,10:19:13,1.39,1.48
2023-08-04,10:19:50,0.75,0.98
2023-08-04,10:20:50,0.75,0.99
2023-08-04,10:21:42,0.75,0.99
2023-08-04,10:22:30,0.71,0.86
2023-08-04,10:31:29,1.41,1.6
2023-08-04,10:32:22,0.75,0.99
2023-08-04,10:35:40,0.75,0.99
2023-08-04,10:36:09,0.75,0.98
2023-08-04,10:37:32,0.75,0.99
2023-08-04,10:37:39,23.42,27.86
2023-08-04,10:38:03,35.37,35.68
2023-08-04,10:38:16,39.24,39.46
2023-08-04,10:38:28,30.15,31.89
2023-08-04,10:42:36,30.17,31.91
2023-08-04,10:42:54,30.17,31.91
2023-08-04,10:43:00,34.74,35.85
2023-08-04,10:43:36,34.67,35.86
2023-08-04,10:45:33,34.7,35.86
2023-08-04,10:45:39,34.67,35.86
2023-08-04,10:47:29,34.71,35.86
2023-08-04,10:47:35,30.17,31.91
2023-08-04,10:47:48,44.11,44.37
2023-08-04,10:47:59,18.53,18.75
2023-08-04,11:58:41,1.39,1.48
2023-08-04,11:59:12,1.39,1.48
2023-08-04,11:59:18,0.75,0.99
2023-08-04,11:59:27,1.2,2.14
2023-08-04,12:01:16,0.85,1.08
2023-08-04,12:01:24,1.24,2.18
2023-08-04,12:03:18,1.24,2.18
2023-08-04,12:12:39,1.24,2.18
2023-08-04,12:13:06,0.85,1.08
2023-08-04,12:13:26,14.79,15.06
2023-08-04,12:13:49,18.54,18.75
2023-08-04,12:14:27,30.16,31.9
2023-08-04,12:23:14,30.16,31.9
2023-08-04,12:23:24,7.66,31.9
2023-08-04,12:24:26,0.88,1.11
2023-08-04,12:24:43,1.42,1.61
2023-08-04,12:26:04,0.77,1
2023-08-04,14:37:35,1.4,1.49
2023-08-05,10:07:22,1.39,1.48
2023-08-05,13:55:31,1.39,1.48
2023-08-05,13:55:55,0.75,0.98
2023-08-05,13:58:49,0.76,0.99
2023-08-05,13:58:58,1.21,2.15
2023-08-05,14:00:40,103.24,109.3
2023-08-05,14:01:42,103.24,109.3
2023-08-05,14:02:17,0.85,1.08
2023-08-05,14:02:36,14.79,15.06
2023-08-05,14:03:22,18.54,18.76
2023-08-05,14:04:19,30.16,31.91
2023-08-05,14:04:37,47.69,47.99
2023-08-05,14:05:30,22.26,22.48
2023-08-05,14:06:03,37.87,40.37
2023-08-05,14:06:15,51.8,52.11
2023-08-05,14:06:26,18.54,18.76
2023-08-05,14:11:07,30.17,31.91
2023-08-05,14:16:24,44.1,44.41
2023-08-05,14:16:30,30.17,31.91
2023-08-05,14:17:56,30.16,31.9
2023-08-05,14:18:03,7.66,31.9
2023-08-05,14:18:56,1.25,2.19
2023-08-05,14:27:19,0.86,1.09
2023-08-05,14:27:32,17.55,21.37
2023-08-05,14:35:14,23.53,23.78
2023-08-05,14:35:54,18.95,21.53
2023-08-05,14:36:22,23.53,23.78
2023-08-06,21:15:47,1.39,1.48
2023-08-06,21:16:07,0.76,0.92
2023-08-06,21:16:11,0.75,0.98
2023-08-06,21:16:30,4.24,4.42
2023-08-06,21:16:40,4.95,5.1
2023-08-06,22:43:15,1.39,1.48
2023-08-06,22:43:20,0.75,0.98
2023-08-06,22:43:28,4.69,4.86
2023-08-06,22:43:41,5.4,5.55
2023-08-06,22:45:01,5.34,5.57
2023-08-06,22:45:08,8.87,9
2023-08-06,22:45:15,4.95,5.1
2023-08-06,23:10:25,5.74,5.89
2023-08-06,23:10:46,4.39,4.62
2023-08-06,23:11:05,4.4,4.63
2023-08-06,23:11:26,30.72,30.9
2023-08-06,23:11:49,35.54,35.81
2023-08-07,09:24:36,1.39,1.48
2023-08-07,09:50:49,0.75,0.98
2023-08-07,09:51:16,1.2,2.14
2023-08-07,09:51:26,0.85,1.08
2023-08-07,09:56:45,0.85,1.08
2023-08-07,09:57:17,1.24,2.18
2023-08-07,09:57:22,0.85,1.08
2023-08-07,09:58:05,0.85,1.08
2023-08-07,09:58:16,43.42,53.62
2023-08-07,09:59:18,0.83,1.06
2023-08-07,09:59:22,1.23,2.18
2023-08-07,09:59:44,0.85,1.08
2023-08-07,09:59:50,1.24,2.18
2023-08-07,10:05:18,1.25,2.19
2023-08-07,10:05:39,0.85,1.09
2023-08-07,10:05:55,4.38,4.52
2023-08-07,10:06:47,4.35,4.56
2023-08-07,10:07:36,4.39,4.52
2023-08-07,10:07:43,4.96,5.11
2023-08-07,10:10:02,4.41,4.64
2023-08-23,21:48:59,1.39,1.48
2023-08-23,21:49:55,0.75,0.92
2023-08-23,21:51:32,1.41,1.6
2023-08-23,21:53:24,1.41,1.6
2023-08-23,21:53:45,1.41,1.6
2023-08-23,21:53:49,0.75,0.99
2023-08-23,21:54:06,1.17,2.23
2023-08-23,21:54:18,0.8,1.03
2023-08-23,21:55:02,0.8,1.03
2023-08-23,21:55:11,5.54,6.48
2023-08-23,21:55:32,5.53,6.46
2023-08-23,21:55:56,5.53,6.46
2023-08-23,21:56:20,0.76,0.99
2023-08-23,21:57:36,0.71,0.88
2023-08-23,23:56:12,0.71,0.88
2023-08-23,23:56:22,0.76,0.99
2023-08-23,23:56:46,1.22,2.25
2023-08-24,11:49:31,1.39,1.48
2023-08-24,11:49:37,0.75,0.98
2023-08-24,11:50:10,1.21,2.23
2023-08-24,11:50:53,0.86,1.1
2023-08-24,11:50:59,1.25,2.27
2023-08-24,11:57:57,1.69,1.88
2023-08-24,11:58:30,1.32,1.55
2023-08-24,11:58:36,1.71,2.39
2023-08-24,11:58:47,36.78,408.4
2023-08-24,12:01:15,1.7,2.39
2023-08-24,12:02:39,273.46,290.52
2023-08-24,12:09:40,273.46,290.52
2023-08-24,12:10:16,303.26,303.77
2023-08-24,12:11:05,303.09,303.52
2023-08-24,12:13:31,303.26,303.77
2023-08-24,12:14:08,40.38,40.84
2023-08-24,12:25:44,64.69,69.14
2023-08-24,12:25:54,76.71,79.5
2023-08-24,12:26:06,76.62,79.52
2023-08-24,12:26:52,64.7,69.16
2023-08-24,12:27:04,77.42,80.4
2023-08-28,02:10:41,1.39,1.48
2023-08-28,02:10:41,1.39,1.48
2023-08-28,02:11:30,0.75,0.98
2023-08-28,02:14:29,0.75,0.98
2023-08-28,02:14:48,0.75,0.99
2023-08-28,02:14:58,0.76,0.99
2023-08-28,02:27:22,1.39,1.48
2023-08-28,02:27:28,0.75,0.98
2023-08-29,08:32:08,1.39,1.48
2023-08-29,08:32:32,1.41,1.6
2023-08-29,08:32:36,0.76,0.99
2023-08-29,08:38:03,0.76,0.99
2023-08-29,08:38:40,0.81,1.93
2023-08-29,08:39:59,0.81,1.93
2023-08-29,08:41:35,0.76,0.99
2023-08-29,08:41:46,1.21,2.24
2023-08-29,08:42:32,36.39,408
2023-08-29,08:43:20,1.3,2.29
2023-08-29,08:43:29,0.91,1.14
2023-08-29,08:43:33,1.3,2.29
2023-08-29,08:44:03,273.46,290.52
2023-08-29,08:54:06,1.25,2.28
2023-08-29,08:57:31,0.99,1.22
2023-08-29,08:58:20,30.8,31.31
2023-08-29,08:58:22,1.41,54.22
2023-08-29,08:58:37,1.41,1.6
2023-08-29,08:58:50,0.75,0.99
2023-08-29,08:59:06,1.41,1.6
2023-08-29,08:59:10,0.76,0.99
2023-08-29,08:59:21,14.51,14.71
2023-08-29,08:59:41,14.64,14.84
2023-08-29,08:59:55,14.5,14.8
2023-08-29,09:00:05,14.64,14.84
2023-08-29,09:00:33,0.76,0.99
2023-08-29,09:00:43,14.51,14.71
2023-08-29,09:01:31,39.56,40.11
2023-08-29,09:01:52,39.5,39.86
2023-08-29,09:02:06,39.43,39.86
2023-08-29,09:03:38,39.56,40.11
2023-08-29,09:04:50,49.41,49.87
2023-08-29,10:03:06,1.39,1.48
2023-08-29,10:03:13,0.76,0.99
2023-08-29,10:07:58,0.81,1.93
2023-08-29,10:20:31,0.81,1.93
2023-08-29,10:32:29,0.81,1.93
2023-08-29,10:32:38,0.76,0.99
2023-08-29,10:32:45,1.21,2.24
2023-08-29,10:32:55,36.57,407.97
2023-08-29,10:33:32,1.24,2.27
2023-08-29,20:52:10,1.37,54.22
2023-08-29,20:52:40,1.41,1.6
2023-08-29,21:34:22,0.75,0.99
2023-08-29,21:34:29,0.75,0.99
2023-08-29,21:34:39,0.75,0.99
2023-08-29,21:34:43,0.75,0.99
2023-08-29,21:34:48,36.09,44.36
2023-08-31,08:14:04,1.39,1.48
2023-08-31,08:16:06,0.69,0.85
2023-08-31,08:16:19,1.41,1.6
2023-08-31,08:17:44,0.75,0.99
2023-08-31,08:48:09,0.79,1.02
2023-08-31,08:48:17,1.08,1.25
2023-08-31,08:48:42,0.79,1.02
2023-08-31,10:47:26,0.77,0.87
2023-08-31,10:50:17,33.62,35.42
2023-08-31,10:50:28,1.39,1.48
2023-08-31,11:17:32,31.78,33.45
2023-08-31,11:17:56,31.78,33.45
2023-08-31,11:21:37,31.8,33.46
2023-08-31,11:22:42,58.51,65.83
2023-08-31,11:24:03,58.51,65.83
2023-08-31,11:24:25,58.51,65.83
2023-08-31,11:28:58,58.51,65.83
2023-08-31,11:30:20,58.51,65.83
2023-08-31,11:33:55,58.51,65.83
2023-08-31,11:51:25,0.74,0.83
2023-08-31,11:53:51,0.74,0.83
2023-08-31,11:56:48,0.74,0.83
2023-08-31,12:01:26,0.74,0.83
2023-08-31,12:04:58,0.74,0.83
2023-08-31,12:08:03,0.74,0.83
2023-08-31,13:20:31,1.39,1.48
2023-08-31,13:28:20,0.74,0.83
2023-08-31,13:35:52,0.75,0.99
2023-08-31,13:36:10,1.36,7.46
2023-08-31,13:36:58,0.81,1.04
2023-08-31,14:02:10,0.76,0.99
2023-08-31,16:29:00,1.39,1.49
2023-08-31,16:29:37,1.4,1.49
2023-08-31,16:30:03,0.76,0.99
2023-08-31,16:30:20,1.37,7.47
2023-08-31,18:12:48,1.39,1.49
2023-08-31,18:12:56,0.76,0.99
2023-08-31,18:13:02,1.36,7.47
2023-08-31,18:14:11,0.8,1.03
2023-08-31,18:14:21,80.18,97.82
2023-08-31,18:14:49,86.16,97.97
2023-08-31,18:31:50,80.07,97.97
2023-08-31,18:32:04,1.41,1.61
2023-08-31,18:36:07,1.39,1.49
2023-08-31,18:36:34,0.76,0.99
2023-08-31,18:36:42,1.22,2.25
2023-08-31,18:49:57,3.19,3.42
2023-08-31,18:50:11,3.19,3.42
2023-08-31,19:01:04,3.19,3.42
2023-08-31,19:01:13,6.17,7.11
2023-08-31,19:05:34,15.97,16.17
2023-08-31,19:06:23,19.71,19.91
2023-08-31,19:12:12,26.47,28.06
2023-08-31,19:15:38,13.73,28.06
2023-08-31,19:25:58,0.77,1
2023-08-31,19:26:46,7.9,9.01
2023-08-31,23:37:17,7.9,9.01
2023-08-31,23:42:36,27.48,34.79
2023-08-31,23:42:49,1.41,1.61
2023-08-31,23:42:57,0.76,0.99
2023-08-31,23:44:13,1.38,7.48
2023-08-31,23:44:46,1.38,7.48
2023-09-01,02:47:26,1.35,1.45
2023-09-01,03:08:31,0.76,0.99
2023-09-02,20:57:51,1.39,1.48
2023-09-02,20:57:57,0.75,0.98
2023-09-02,21:10:50,1.39,1.48
2023-09-02,21:11:01,0.76,0.99
2023-09-02,21:11:15,1.36,7.46
2023-09-02,21:12:39,0.81,1.04
2023-09-02,21:12:56,27.49,34.8
2023-09-02,21:13:42,39.31,42.08
2023-09-02,21:14:48,0.77,1
2023-09-02,21:15:03,80.18,97.81
2023-09-02,21:15:22,90.59,97.98
2023-09-02,21:16:33,80.18,97.81
2023-09-03,00:55:41,1.4,1.49
2023-09-03,11:44:47,1.39,1.48
2023-09-03,11:44:56,0.75,0.98
2023-09-03,11:45:11,80.17,97.8
2023-09-03,11:45:31,92.1,97.96
2023-09-03,11:58:12,92.1,97.96
2023-09-03,14:30:53,1.39,1.48
2023-09-03,14:45:33,0.74,0.83
2023-09-03,14:50:35,0.74,0.83
2023-09-03,14:51:49,0.83,1.06
2023-09-03,15:07:26,0.78,0.92
2023-09-03,15:16:08,0.78,0.92
2023-09-03,22:43:56,1.39,1.48
2023-09-04,00:52:49,1.39,1.48
2023-09-04,00:52:56,0.75,0.98
2023-09-04,00:54:23,0.75,0.98
2023-09-04,00:54:51,83.4,97.83
2023-09-04,00:56:28,83.4,97.83
2023-09-04,00:57:45,83.4,97.83
2023-09-04,01:02:06,83.4,97.83
2023-09-04,01:04:13,0.75,0.98
2023-09-04,01:09:16,0.99,7.16
2023-09-04,01:13:23,0.76,0.99
2023-09-05,21:52:07,1.39,1.48
2023-09-06,00:12:57,1.39,1.48
2023-09-06,13:22:55,1.39,1.48
2023-09-06,13:47:58,0.74,0.84
2023-09-06,13:48:02,0.76,0.99
2023-09-06,14:17:14,1.39,1.48
2023-09-06,14:17:21,0.75,0.98
2023-09-06,14:17:29,1.35,7.46
2023-09-06,14:17:48,0.8,1.03
2023-09-06,14:18:21,83.41,97.85
2023-09-06,17:22:31,1.39,1.48
2023-09-06,17:22:40,0.76,0.99
2023-09-06,17:23:21,1.4,7.47
2023-09-06,17:23:40,1.42,7.5
2023-09-06,19:13:14,1.39,1.48
2023-09-06,19:13:55,1.41,1.61
2023-09-06,19:14:00,0.76,0.99
2023-09-06,19:14:46,1.39,1.49
2023-09-06,19:14:55,0.76,0.99
2023-09-06,19:17:56,5.52,6.46
2023-09-06,19:19:16,15.97,16.17
2023-09-06,19:19:39,16.3,16.51
2023-09-06,19:19:53,15.97,16.17
2023-09-06,19:20:44,16.34,16.55
2023-09-06,19:21:05,15.97,16.17
2023-09-06,19:21:14,19.7,19.9
2023-09-06,19:24:32,26.46,28.05
2023-09-06,19:24:41,7.06,28.05
2023-09-06,19:25:34,36.34,44.62
2023-09-06,19:26:44,0.87,1.1
2023-09-06,19:30:38,0.87,1.1
2023-09-06,19:38:37,0.87,1.1
2023-09-06,19:38:50,1.41,1.61
2023-09-06,19:38:55,0.76,0.99
2023-09-06,19:41:24,0.79,1.02
2023-09-06,19:41:55,1.23,2.26
2023-09-06,19:45:47,1.59,1.78
2023-09-06,19:47:45,1.33,1.56
2023-09-06,20:17:28,1.4,1.49
2023-09-06,20:18:50,0.76,0.99
2023-09-06,20:19:05,5.19,6.44
2023-09-07,00:55:06,1.4,1.49
2023-09-07,00:55:19,1.41,1.61
2023-09-07,00:55:59,0.76,0.99
2023-09-07,00:56:16,1.41,7.48
2023-09-07,00:56:31,0.8,1.03
2023-09-07,00:57:02,83.42,97.85
2023-09-07,00:59:15,88.4,98.01
2023-09-07,00:59:52,89.92,98.27
2023-09-07,01:00:23,9.67,9.97
2023-09-07,01:00:59,9.67,9.97
2023-09-07,01:01:08,85.36,99.79
2023-09-07,01:01:25,89.92,98.27
2023-09-07,01:01:42,9.67,9.97
2023-09-07,01:02:14,9.67,9.97
2023-09-07,01:02:30,85.36,99.79
2023-09-07,01:02:46,89.92,98.27
2023-09-07,01:05:42,9.66,9.97
2023-09-07,01:05:55,9.67,9.97
2023-09-07,01:06:53,9.67,9.98
2023-09-07,01:07:02,85.36,99.8
2023-09-07,01:07:09,0.78,1.01
2023-09-07,01:07:32,0.78,1.01
2023-09-07,01:07:43,83.42,97.86
2023-09-07,01:08:20,89.93,98.29
2023-09-07,01:08:28,9.68,9.99
2023-09-07,01:08:49,9.68,9.99
2023-09-07,01:09:01,85.37,99.8
2023-09-07,01:09:15,89.93,98.29
2023-09-07,01:09:38,9.69,9.99
2023-09-07,01:09:52,85.37,99.81
2023-09-07,01:10:17,88.41,98.03
2023-09-07,01:10:46,89.93,98.29
2023-09-07,01:11:27,85.37,99.81
2023-09-07,01:11:43,100.05,100.5
2023-09-07,01:12:27,104.71,105.07
2023-09-07,01:13:00,90.36,104.8
2023-09-07,01:13:49,0.79,1.02
2023-09-07,01:22:35,1.4,1.49
2023-09-07,01:22:47,0.76,0.99
2023-09-07,01:22:55,83.41,97.84
2023-09-07,01:26:26,88.39,98.01
2023-09-07,01:26:56,89.92,98.27
2023-09-07,01:29:09,9.67,9.97
2023-09-07,01:33:17,1.4,1.49
2023-09-07,01:33:22,0.76,0.99
2023-09-07,01:42:03,1,7.16
2023-09-07,01:43:51,0.77,1
2023-09-07,01:44:12,1.41,7.48
2023-09-07,01:47:52,1.42,7.49
2023-09-07,01:48:44,300.32,2007.8
2023-09-07,01:49:10,1.42,7.49
2023-09-07,01:51:50,1.58,1.77
2023-09-07,01:52:18,1.7,1.89
2023-09-07,01:54:43,1.32,1.55
2023-09-07,02:52:08,1.4,1.49
2023-09-07,02:52:17,0.76,0.99
2023-09-07,02:52:28,1.41,7.48
2023-09-07,13:56:51,1.39,1.48
2023-09-07,14:03:24,2.08,2.18
2023-09-07,14:03:30,2.1,2.33
2023-09-07,14:56:47,2.08,2.23
2023-09-08,09:20:24,1.39,1.48
2023-09-08,10:14:07,1.39,1.48
2023-09-08,13:21:35,1.39,1.48
2023-09-10,02:11:49,1.39,1.48
2023-09-10,02:12:01,1.41,1.6
2023-09-10,02:12:06,0.75,0.99
2023-09-10,02:15:45,0.81,1.92
2023-09-10,02:16:56,0.81,1.92
2023-09-10,02:39:33,0.81,1.92
2023-09-10,02:46:28,0.81,1.93
2023-09-10,02:47:55,0.81,1.93
2023-09-10,02:50:20,0.81,1.93
