Fecha,Hora,Megabytes Normal,Megabytes Picos,Megabytes MySQL
2023-10-17,17:05:10,1.83,1.97,787.234375
2023-10-17,17:05:55,1.83,1.97,787.234375
2023-10-17,17:08:09,1.83,1.97,787.296875
2023-10-17,17:09:57,1.83,1.97,787.296875
2023-10-17,17:10:03,1.8,58.28,827.265625
2023-10-17,17:11:04,1.83,1.97,827.265625
2023-10-17,17:11:09,1.83,1.97,827.265625
2023-10-17,17:20:02,1.83,1.97,827.265625
2023-10-17,17:21:36,1.83,1.97,827.265625
2023-10-17,17:22:26,1.8,58.29,827.265625
2023-10-17,17:22:43,1.83,1.97,827.265625
2023-10-17,17:24:02,1.83,1.97,827.265625
2023-10-17,17:24:34,1.83,1.97,827.265625
2023-10-17,17:30:12,1.82,1.97,827.328125
2023-10-17,17:31:51,1.82,1.97,827.40625
2023-10-17,17:33:09,1.83,1.97,827.4375
2023-10-17,17:35:58,1.82,1.97,827.4375
2023-10-17,17:46:31,1.8,58.29,827.4375
2023-10-17,17:47:20,1.83,1.97,827.4375
2023-10-17,17:47:39,1.88,2.98,827.4375
2023-10-17,17:53:22,37.14,45.47,827.4375
2023-10-17,17:53:25,37.14,45.47,827.4375
2023-10-17,17:53:33,37.14,45.47,827.4375
2023-10-17,17:53:37,1.88,2.98,827.4375
2023-10-17,17:53:39,1.88,2.98,827.4375
2023-10-17,17:54:19,1.88,2.98,827.4375
2023-10-17,18:40:10,37.36,45.49,827.484375
2023-10-17,18:40:20,1.88,2.98,827.484375
2023-10-17,18:40:27,37.36,45.49,827.484375
2023-10-17,18:44:37,37.37,45.5,827.484375
2023-10-17,18:45:46,37.37,45.5,827.484375
2023-10-17,18:47:16,37.37,45.5,827.484375
2023-10-17,19:03:00,37.37,45.5,827.875
2023-10-17,19:03:30,1.88,2.98,827.875
2023-10-17,19:04:04,37.37,45.5,827.875
2023-10-17,19:04:22,37.37,45.5,827.875
2023-10-17,19:06:06,37.37,45.5,827.875
